metric,metric_label,source_dataset,source_label,source_role,comparison_context,non_missing_count,comparison_status,recommended_use,claim_scope,filter_note
offered_downlink_mbps,Offered downlink traffic,ucc_5g_context,UCC 5G Context,required_reference,unavailable,0,insufficient_or_unavailable,not_reported,selected traffic-demand plausibility comparison,
offered_downlink_mbps,Offered downlink traffic,ns3_lena,5G-LENA/ns-3,required_reference,unfiltered,12,insufficient_or_unavailable,not_reported,selected traffic-demand plausibility comparison,
packet_loss_fraction,Packet loss fraction,synnetqos,SynNetQoS,main_dataset,unavailable,0,insufficient_or_unavailable,not_reported,reference-only availability summary; SynNetQoS does not expose a direct packet-loss field in this comparison table,
packet_loss_fraction,Packet loss fraction,vienna_4g5g,Vienna 4G/5G,required_reference,unavailable,0,insufficient_or_unavailable,not_reported,reference-only availability summary; SynNetQoS does not expose a direct packet-loss field in this comparison table,
packet_loss_fraction,Packet loss fraction,campus_qos,Campus QoS,required_reference,unfiltered,302,reference_only,coverage_or_limitations_only,reference-only availability summary; SynNetQoS does not expose a direct packet-loss field in this comparison table,
packet_loss_fraction,Packet loss fraction,ucc_5g_context,UCC 5G Context,required_reference,unfiltered,3272,reference_only,coverage_or_limitations_only,reference-only availability summary; SynNetQoS does not expose a direct packet-loss field in this comparison table,
packet_loss_fraction,Packet loss fraction,ns3_lena,5G-LENA/ns-3,required_reference,unfiltered,12,insufficient_or_unavailable,not_reported,reference-only availability summary; SynNetQoS does not expose a direct packet-loss field in this comparison table,
signal_dbm,Signal / RSRP,synnetqos,SynNetQoS,main_dataset,unfiltered,50000,available,not_reported,selected radio-strength plausibility comparison,
signal_dbm,Signal / RSRP,vienna_4g5g,Vienna 4G/5G,required_reference,unfiltered,3895125,pairwise_comparable,main_text_candidate,selected radio-strength plausibility comparison,
signal_dbm,Signal / RSRP,campus_qos,Campus QoS,required_reference,unavailable,0,insufficient_or_unavailable,not_reported,selected radio-strength plausibility comparison,
signal_dbm,Signal / RSRP,ucc_5g_context,UCC 5G Context,required_reference,unfiltered,188711,pairwise_comparable,main_text_candidate,selected radio-strength plausibility comparison,
signal_dbm,Signal / RSRP,ns3_lena,5G-LENA/ns-3,required_reference,unavailable,0,insufficient_or_unavailable,not_reported,selected radio-strength plausibility comparison,
upload_throughput_mbps,Upload throughput,synnetqos,SynNetQoS,main_dataset,unfiltered,50000,available,not_reported,selected upload-throughput plausibility comparison,
upload_throughput_mbps,Upload throughput,vienna_4g5g,Vienna 4G/5G,required_reference,unfiltered,1838818,pairwise_comparable,supplementary_or_table,selected upload-throughput plausibility comparison,
upload_throughput_mbps,Upload throughput,campus_qos,Campus QoS,required_reference,unfiltered,302,pairwise_comparable,supplementary_or_table,selected upload-throughput plausibility comparison,
upload_throughput_mbps,Upload throughput,ucc_5g_context,UCC 5G Context (Download context),required_reference,Download context,43208,pairwise_comparable,supplementary_or_table,selected upload-throughput plausibility comparison,UCC upload throughput is shown only for Download-context rows to avoid mixing streaming idle periods; use as supplementary evidence.
upload_throughput_mbps,Upload throughput,ns3_lena,5G-LENA/ns-3,required_reference,unavailable,0,insufficient_or_unavailable,not_reported,selected upload-throughput plausibility comparison,
