column_name,value,count,fraction,unique_count
obstruction_penalty_db,8,20620,0.4124,3
obstruction_penalty_db,18,8030,0.1606,3
weather_penalty_db,0,35160,0.7032,3
weather_penalty_db,5,9770,0.1954,3
weather_penalty_db,8,5070,0.1014,3
mobility_penalty_db,0,25236,0.50472,3
mobility_penalty_db,2,22774,0.45548,3
mobility_penalty_db,6,1990,0.0398,3
indoor_penalty_db,0,32260,0.6452,2
indoor_penalty_db,10,17740,0.3548,2
contextual_penalty_db,8,6451,0.12902,25
contextual_penalty_db,2,5948,0.11896,25
contextual_penalty_db,10,5460,0.1092,25
contextual_penalty_db,4,4924,0.09848,25
contextual_penalty_db,28,2970,0.0594,25
contextual_penalty_db,30,2928,0.05856,25
contextual_penalty_db,14,2484,0.04968,25
contextual_penalty_db,12,2373,0.04746,25
contextual_penalty_db,18,2363,0.04726,25
contextual_penalty_db,13,1900,0.038,25
contextual_penalty_db,20,1870,0.0374,25
contextual_penalty_db,7,1592,0.03184,25
contextual_penalty_db,9,1491,0.02982,25
contextual_penalty_db,15,1270,0.0254,25
contextual_penalty_db,16,860,0.0172,25
contextual_penalty_db,33,794,0.01588,25
contextual_penalty_db,35,716,0.01432,25
contextual_penalty_db,19,553,0.01106,25
contextual_penalty_db,23,539,0.01078,25
contextual_penalty_db,25,471,0.00942,25
contextual_penalty_db,22,457,0.00914,25
contextual_penalty_db,38,452,0.00904,25
contextual_penalty_db,17,444,0.00888,25
contextual_penalty_db,36,378,0.00756,25
contextual_penalty_db,26,312,0.00624,25
effective_tx_power_dbm,44,50000,1.0,1
rsrp_clipped,False,48251,0.96502,2
rsrp_clipped,True,1749,0.03498,2
network_type,5G NSA,19650,0.393,3
network_type,5G SA,17960,0.3592,3
network_type,4G,12390,0.2478,3
ue_profile,UE-Basic,16960,0.3392,3
ue_profile,UE-Standard,16600,0.332,3
ue_profile,UE-Advanced,16440,0.3288,3
ue_capability_class,Basic,16960,0.3392,3
ue_capability_class,Standard,16600,0.332,3
ue_capability_class,Advanced,16440,0.3288,3
operator_profile,Operator_B,5750,0.115,13
operator_profile,Operator_G,5610,0.1122,13
operator_profile,Operator_A,5480,0.1096,13
operator_profile,Operator_E,5390,0.1078,13
operator_profile,Operator_F,5380,0.1076,13
operator_profile,Operator_J,3000,0.06,13
operator_profile,Operator_L,2920,0.0584,13
operator_profile,Operator_D,2870,0.0574,13
operator_profile,Operator_H,2860,0.0572,13
operator_profile,Operator_M,2730,0.0546,13
operator_profile,Operator_C,2680,0.0536,13
operator_profile,Operator_K,2680,0.0536,13
operator_profile,Operator_I,2650,0.053,13
infrastructure_profile,Nominal,37600,0.752,3
infrastructure_profile,Moderately_Degraded,9800,0.196,3
infrastructure_profile,Severely_Degraded,2600,0.052,3
band,n78,15460,0.3092,9
band,LTE_Anchor,12390,0.2478,9
band,n28,7420,0.1484,9
band,n260,4100,0.082,9
band,n77,4060,0.0812,9
band,n258,3160,0.0632,9
band,n41,2090,0.0418,9
band,n257,670,0.0134,9
band,n79,650,0.013,9
connected_duration_min,1,5000,0.1,10
connected_duration_min,2,5000,0.1,10
connected_duration_min,3,5000,0.1,10
connected_duration_min,4,5000,0.1,10
connected_duration_min,5,5000,0.1,10
connected_duration_min,6,5000,0.1,10
connected_duration_min,7,5000,0.1,10
connected_duration_min,8,5000,0.1,10
connected_duration_min,9,5000,0.1,10
connected_duration_min,10,5000,0.1,10
interval_handover_count,0,33744,0.67488,13
interval_handover_count,1,8472,0.16944,13
interval_handover_count,2,4638,0.09276,13
interval_handover_count,3,1925,0.0385,13
interval_handover_count,4,697,0.01394,13
interval_handover_count,5,296,0.00592,13
interval_handover_count,6,122,0.00244,13
interval_handover_count,7,56,0.00112,13
interval_handover_count,8,26,0.00052,13
interval_handover_count,9,15,0.0003,13
interval_handover_count,10,4,8e-05,13
interval_handover_count,11,4,8e-05,13
interval_handover_count,12,1,2e-05,13
congestion_level,Medium,21674,0.43348,3
congestion_level,High,19204,0.38408,3
congestion_level,Low,9122,0.18244,3
movement_speed,Static,25236,0.50472,3
movement_speed,Walking,22774,0.45548,3
movement_speed,Driving,1990,0.0398,3
app_type,Streaming,12626,0.25252,4
app_type,Gaming,12569,0.25138,4
app_type,Browse,12432,0.24864,4
app_type,Call,12373,0.24746,4
weather,Clear,35160,0.7032,3
weather,Rainy,9770,0.1954,3
weather,Foggy,5070,0.1014,3
obstruction_level,Low,21350,0.427,3
obstruction_level,Medium,20620,0.4124,3
obstruction_level,High,8030,0.1606,3
is_indoor,False,32260,0.6452,2
is_indoor,True,17740,0.3548,2
tower_load,Light,25097,0.50194,3
tower_load,Moderate,14903,0.29806,3
tower_load,Heavy,10000,0.2,3
video_quality_label,<missing>,37374,0.74748,5
video_quality_label,Good,4138,0.08276,5
video_quality_label,Bad,2724,0.05448,5
video_quality_label,Fair,2512,0.05024,5
video_quality_label,Poor,2148,0.04296,5
video_quality_label,Excellent,1104,0.02208,5
vonr_enabled,False,46858,0.93716,2
vonr_enabled,True,3142,0.06284,2
anomalous,False,49706,0.99412,2
anomalous,True,294,0.00588,2
dropped_connection,False,49040,0.9808,2
dropped_connection,True,960,0.0192,2
timestamp_parse_failed,False,50000,1.0,1
session_step_index,1,5000,0.1,10
session_step_index,2,5000,0.1,10
session_step_index,3,5000,0.1,10
session_step_index,4,5000,0.1,10
session_step_index,5,5000,0.1,10
session_step_index,6,5000,0.1,10
session_step_index,7,5000,0.1,10
session_step_index,8,5000,0.1,10
session_step_index,9,5000,0.1,10
session_step_index,10,5000,0.1,10
session_record_count,10,50000,1.0,1
