view_rank,node_id,graph_view,node_type,degree_total,weighted_degree
23,external_reference_evidence:metric:offered_downlink_mbps:4a86974694c8,external_reference_evidence,metric,4,50315.0
24,external_reference_evidence:reference_context:scenario_season3-strangerthings:f4ad498b7342,external_reference_evidence,reference_context,1,48947.0
25,external_reference_evidence:reference_context:scenario_season3-theexpanse:e418f05433b6,external_reference_evidence,reference_context,1,47352.0
1,warehouse_measurement:area_type:urban:c3d998263984,warehouse_measurement,area_type,50000,50000.0
2,warehouse_measurement:infrastructure:nominal:c7103e6c0e5f,warehouse_measurement,infrastructure,37600,37600.0
3,warehouse_measurement:weather:clear:fe5fe91e79b9,warehouse_measurement,weather,35160,35160.0
4,warehouse_measurement:mobility:static:c36ef63e34e8,warehouse_measurement,mobility,25236,25236.0
5,warehouse_measurement:tower_load:light:0d05a099f3b7,warehouse_measurement,tower_load,25097,25097.0
6,warehouse_measurement:mobility:walking:1177b76e590d,warehouse_measurement,mobility,22774,22774.0
7,warehouse_measurement:congestion:medium:98398bc11d8b,warehouse_measurement,congestion,21674,21674.0
8,warehouse_measurement:obstruction:low:ea9abc1b3a4d,warehouse_measurement,obstruction,21350,21350.0
9,warehouse_measurement:obstruction:medium:184458a32a4f,warehouse_measurement,obstruction,20620,20620.0
10,warehouse_measurement:network_type:5g_nsa:1c8a91df2a7e,warehouse_measurement,network_type,19650,19650.0
11,warehouse_measurement:congestion:high:eebd913695d5,warehouse_measurement,congestion,19204,19204.0
12,warehouse_measurement:network_type:5g_sa:97c69c172294,warehouse_measurement,network_type,17960,17960.0
13,warehouse_measurement:radio_band:n78:ee6c7fefdcab,warehouse_measurement,radio_band,15460,15460.0
14,warehouse_measurement:tower_load:moderate:fab0bb873e09,warehouse_measurement,tower_load,14903,14903.0
15,warehouse_measurement:time_bin:morning:a7d256ba56ed,warehouse_measurement,time_bin,12754,12754.0
16,warehouse_measurement:application:streaming:da842c42d620,warehouse_measurement,application,12626,12626.0
17,warehouse_measurement:time_bin:night:adb97e8d5c5b,warehouse_measurement,time_bin,12616,12616.0
18,warehouse_measurement:application:gaming:1713654f8e61,warehouse_measurement,application,12569,12569.0
19,warehouse_measurement:time_bin:afternoon:c63cfe316a11,warehouse_measurement,time_bin,12478,12478.0
20,warehouse_measurement:application:browse:8a591a636acd,warehouse_measurement,application,12432,12432.0
21,warehouse_measurement:network_type:4g:d80d68f8b179,warehouse_measurement,network_type,12390,12390.0
22,warehouse_measurement:radio_band:lte_anchor:09a35e0e753a,warehouse_measurement,radio_band,12390,12390.0
23,warehouse_measurement:application:call:10a6099538ce,warehouse_measurement,application,12373,12373.0
24,warehouse_measurement:time_bin:evening:88f72072a8ee,warehouse_measurement,time_bin,12152,12152.0
25,warehouse_measurement:tower_load:heavy:76261d9d57d8,warehouse_measurement,tower_load,10000,10000.0
