node_id,node_type,graph_view,node_label,source_dataset,source_column,source_value,measurement_id,session_id,timestamp,service_degraded,high_latency,high_jitter,downlink_service_shortfall,poor_video_quality,dropped_connection,anomalous,row_count,degraded_count,degradation_fraction,context_family,context_value,degradation_rate,source_label,source_role,metric,metric_label,reference_dataset,comparison_context,recommended_use,comparison_scope,synnetqos_sample_count,reference_sample_count,median_difference,wasserstein_distance,ks_statistic,incident_edge_count,incident_weight,max_edge_degradation_lift
context_cooccurrence:context_value:application_gaming:def3dd30caeb,context_value,context_cooccurrence,application=Gaming,synnetqos,app_type,Gaming,,,,,,,,,,,12569.0,6637.0,,application,Gaming,0.5280451905481741,,,,,,,,,,,,,,35,125690.0,1.6015675447904727
context_cooccurrence:context_value:mobility_walking:f9c84a86faf4,context_value,context_cooccurrence,mobility=Walking,synnetqos,movement_speed,Walking,,,,,,,,,,,22774.0,12506.0,,mobility,Walking,0.5491349784842364,,,,,,,,,,,,,,36,227740.0,1.5943563175329285
context_cooccurrence:context_value:time_bin_morning:7b7f4189c4b9,context_value,context_cooccurrence,time_bin=morning,synnetqos,time_of_day_bin,morning,,,,,,,,,,,12754.0,6891.0,,time_bin,morning,0.5403010820134859,,,,,,,,,,,,,,35,127540.0,1.5564676250974825
context_cooccurrence:context_value:radio_band_n79:b85c8ced654f,context_value,context_cooccurrence,radio_band=n79,synnetqos,band,n79,,,,,,,,,,,650.0,323.0,,radio_band,n79,0.4969230769230769,,,,,,,,,,,,,,29,6500.0,1.555502975173296
context_cooccurrence:context_value:infrastructure_nominal:86f0c6eb721b,context_value,context_cooccurrence,infrastructure=Nominal,synnetqos,infrastructure_profile,Nominal,,,,,,,,,,,37600.0,19263.0,,infrastructure,Nominal,0.512313829787234,,,,,,,,,,,,,,36,376000.0,1.5517341508821962
context_cooccurrence:context_value:tower_load_moderate:ff95aa01d274,context_value,context_cooccurrence,tower_load=Moderate,synnetqos,tower_load,Moderate,,,,,,,,,,,14903.0,7316.0,,tower_load,Moderate,0.4909078708984768,,,,,,,,,,,,,,35,149030.0,1.547658291909296
context_cooccurrence:context_value:network_type_5g_nsa:1e446c34aabc,context_value,context_cooccurrence,network_type=5G NSA,synnetqos,network_type,5G NSA,,,,,,,,,,,19650.0,9889.0,,network_type,5G NSA,0.5032569974554707,,,,,,,,,,,,,,35,196500.0,1.5448617073350883
context_cooccurrence:context_value:time_bin_afternoon:e0d493798a7a,context_value,context_cooccurrence,time_bin=afternoon,synnetqos,time_of_day_bin,afternoon,,,,,,,,,,,12478.0,6349.0,,time_bin,afternoon,0.5088155153069402,,,,,,,,,,,,,,35,124780.0,1.5427612158740391
context_cooccurrence:context_value:area_type_urban:56fedb3ecc6c,context_value,context_cooccurrence,area_type=Urban,synnetqos,area_type,Urban,,,,,,,,,,,50000.0,25358.0,,area_type,Urban,0.50716,,,,,,,,,,,,,,38,500000.0,1.5418067568803278
context_cooccurrence:context_value:mobility_driving:c335cecd5415,context_value,context_cooccurrence,mobility=Driving,synnetqos,movement_speed,Driving,,,,,,,,,,,1990.0,1195.0,,mobility,Driving,0.6005025125628141,,,,,,,,,,,,,,34,19900.0,1.540707629515895
context_cooccurrence:context_value:infrastructure_moderately_degraded:76839948dcb8,context_value,context_cooccurrence,infrastructure=Moderately_Degraded,synnetqos,infrastructure_profile,Moderately_Degraded,,,,,,,,,,,9800.0,4763.0,,infrastructure,Moderately_Degraded,0.4860204081632653,,,,,,,,,,,,,,36,98000.0,1.5309341656056696
context_cooccurrence:context_value:application_browse:3d1bd585d2bd,context_value,context_cooccurrence,application=Browse,synnetqos,app_type,Browse,,,,,,,,,,,12432.0,5691.0,,application,Browse,0.4577702702702703,,,,,,,,,,,,,,35,124320.0,1.5277974276065196
context_cooccurrence:context_value:radio_band_n78:7ccd8ccc28c3,context_value,context_cooccurrence,radio_band=n78,synnetqos,band,n78,,,,,,,,,,,15460.0,7082.0,,radio_band,n78,0.4580853816300129,,,,,,,,,,,,,,29,154600.0,1.5196830062703603
context_cooccurrence:context_value:weather_clear:8bab34b7cb82,context_value,context_cooccurrence,weather=Clear,synnetqos,weather,Clear,,,,,,,,,,,35160.0,16865.0,,weather,Clear,0.4796643913538111,,,,,,,,,,,,,,36,351600.0,1.5108774164162513
context_cooccurrence:context_value:mobility_static:d34206ea58e5,context_value,context_cooccurrence,mobility=Static,synnetqos,movement_speed,Static,,,,,,,,,,,25236.0,11657.0,,mobility,Static,0.4619194801077825,,,,,,,,,,,,,,36,252360.0,1.487093233638576
context_cooccurrence:context_value:congestion_medium:1096e9812b9e,context_value,context_cooccurrence,congestion=Medium,synnetqos,congestion_level,Medium,,,,,,,,,,,21674.0,9439.0,,congestion,Medium,0.4354987542677863,,,,,,,,,,,,,,35,216740.0,1.4807141433695736
context_cooccurrence:context_value:time_bin_night:908d2968c559,context_value,context_cooccurrence,time_bin=night,synnetqos,time_of_day_bin,night,,,,,,,,,,,12616.0,5568.0,,time_bin,night,0.4413443246670894,,,,,,,,,,,,,,35,126160.0,1.456548899523073
context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_value,context_cooccurrence,radio_band=n41,synnetqos,band,n41,,,,,,,,,,,2090.0,798.0,,radio_band,n41,0.3818181818181818,,,,,,,,,,,,,,29,20900.0,1.4560721241058807
context_cooccurrence:context_value:tower_load_light:a96b7363a32b,context_value,context_cooccurrence,tower_load=Light,synnetqos,tower_load,Light,,,,,,,,,,,25097.0,11317.0,,tower_load,Light,0.4509303900864645,,,,,,,,,,,,,,36,250970.0,1.4501977353587956
context_cooccurrence:context_value:infrastructure_severely_degraded:b1e30b31d54a,context_value,context_cooccurrence,infrastructure=Severely_Degraded,synnetqos,infrastructure_profile,Severely_Degraded,,,,,,,,,,,2600.0,1332.0,,infrastructure,Severely_Degraded,0.5123076923076924,,,,,,,,,,,,,,36,26000.0,1.4283268473508142
context_cooccurrence:context_value:obstruction_medium:3ea6ce2a44a8,context_value,context_cooccurrence,obstruction=Medium,synnetqos,obstruction_level,Medium,,,,,,,,,,,20620.0,10510.0,,obstruction,Medium,0.5096993210475267,,,,,,,,,,,,,,36,206200.0,1.3791536279093977
context_cooccurrence:context_value:network_type_5g_sa:ca96e299bff5,context_value,context_cooccurrence,network_type=5G SA,synnetqos,network_type,5G SA,,,,,,,,,,,17960.0,6911.0,,network_type,5G SA,0.3847995545657016,,,,,,,,,,,,,,35,179600.0,1.344950830424116
context_cooccurrence:context_value:application_call:285b8de10ee6,context_value,context_cooccurrence,application=Call,synnetqos,app_type,Call,,,,,,,,,,,12373.0,4729.0,,application,Call,0.3822031843530267,,,,,,,,,,,,,,35,123730.0,1.3101390643529416
context_cooccurrence:context_value:congestion_low:dc6f30abc825,context_value,context_cooccurrence,congestion=Low,synnetqos,congestion_level,Low,,,,,,,,,,,9122.0,2951.0,,congestion,Low,0.3235036176277132,,,,,,,,,,,,,,33,91220.0,1.262425215567166
context_cooccurrence:context_value:obstruction_low:6baf2e76a3c7,context_value,context_cooccurrence,obstruction=Low,synnetqos,obstruction_level,Low,,,,,,,,,,,21350.0,8569.0,,obstruction,Low,0.4013583138173302,,,,,,,,,,,,,,36,213500.0,1.1653648336036924
context_cooccurrence:context_value:radio_band_n28:af4fa2f617a9,context_value,context_cooccurrence,radio_band=n28,synnetqos,band,n28,,,,,,,,,,,7420.0,1651.0,,radio_band,n28,0.2225067385444744,,,,,,,,,,,,,,29,74200.0,0.9206998753062752
