node_id,graph_view,node_type,degree_total,weighted_degree
external_reference_evidence:reference_context:mobility_context_static:a19762848f5c,external_reference_evidence,reference_context,1,85166.0
context_cooccurrence:context_value:obstruction_high:2b69b79ceadf,context_cooccurrence,context_value,35,80300.0
context_cooccurrence:context_value:radio_band_n28:af4fa2f617a9,context_cooccurrence,context_value,29,74200.0
external_reference_evidence:reference_context:application_context_netflix:db7c7e327fc4,external_reference_evidence,reference_context,1,72832.0
external_reference_evidence:reference_context:application_context_amazon_prime:fc9e4d120356,external_reference_evidence,reference_context,1,72671.0
external_reference_evidence:metric:jitter_ms:5629abf68229,external_reference_evidence,metric,6,53524.0
external_reference_evidence:metric:latency_ms:d96181fbcbbb,external_reference_evidence,metric,4,53221.0
context_cooccurrence:context_value:weather_foggy:086f7369c216,context_cooccurrence,context_value,36,50700.0
external_reference_evidence:metric:offered_downlink_mbps:4a86974694c8,external_reference_evidence,metric,4,50315.0
warehouse_measurement:area_type:urban:c3d998263984,warehouse_measurement,area_type,50000,50000.0
external_reference_evidence:reference_context:scenario_season3-strangerthings:f4ad498b7342,external_reference_evidence,reference_context,1,48947.0
external_reference_evidence:reference_context:scenario_season3-theexpanse:e418f05433b6,external_reference_evidence,reference_context,1,47352.0
external_reference_evidence:reference_context:application_context_download:0ac3bb5660de,external_reference_evidence,reference_context,1,43208.0
context_cooccurrence:context_value:radio_band_n260:c860a51b140e,context_cooccurrence,context_value,29,41000.0
context_cooccurrence:context_value:radio_band_n77:72cd438a800f,context_cooccurrence,context_value,29,40600.0
warehouse_measurement:infrastructure:nominal:c7103e6c0e5f,warehouse_measurement,infrastructure,37600,37600.0
external_reference_evidence:reference_context:network_mode_lte:687da26df707,external_reference_evidence,reference_context,1,35212.0
warehouse_measurement:weather:clear:fe5fe91e79b9,warehouse_measurement,weather,35160,35160.0
context_cooccurrence:context_value:radio_band_n258:4f5199340e56,context_cooccurrence,context_value,29,31600.0
context_cooccurrence:context_value:infrastructure_severely_degraded:b1e30b31d54a,context_cooccurrence,context_value,36,26000.0
warehouse_measurement:mobility:static:c36ef63e34e8,warehouse_measurement,mobility,25236,25236.0
warehouse_measurement:tower_load:light:0d05a099f3b7,warehouse_measurement,tower_load,25097,25097.0
external_reference_evidence:reference_context:scenario_animated-rickandmorty:97aa7ffc7d1d,external_reference_evidence,reference_context,1,23885.0
warehouse_measurement:mobility:walking:1177b76e590d,warehouse_measurement,mobility,22774,22774.0
warehouse_measurement:congestion:medium:98398bc11d8b,warehouse_measurement,congestion,21674,21674.0
warehouse_measurement:obstruction:low:ea9abc1b3a4d,warehouse_measurement,obstruction,21350,21350.0
context_cooccurrence:context_value:radio_band_n41:efc4ef114f74,context_cooccurrence,context_value,29,20900.0
warehouse_measurement:obstruction:medium:184458a32a4f,warehouse_measurement,obstruction,20620,20620.0
context_cooccurrence:context_value:mobility_driving:c335cecd5415,context_cooccurrence,context_value,34,19900.0
warehouse_measurement:network_type:5g_nsa:1c8a91df2a7e,warehouse_measurement,network_type,19650,19650.0
warehouse_measurement:congestion:high:eebd913695d5,warehouse_measurement,congestion,19204,19204.0
warehouse_measurement:network_type:5g_sa:97c69c172294,warehouse_measurement,network_type,17960,17960.0
external_reference_evidence:reference_context:technology_3g:47cda6f5b5a8,external_reference_evidence,reference_context,1,16372.0
external_reference_evidence:reference_context:network_mode_hspa+:1a311b71eb59,external_reference_evidence,reference_context,1,15880.0
warehouse_measurement:radio_band:n78:ee6c7fefdcab,warehouse_measurement,radio_band,15460,15460.0
warehouse_measurement:tower_load:moderate:fab0bb873e09,warehouse_measurement,tower_load,14903,14903.0
external_reference_evidence:reference_context:scenario_animated-adventuretime:bddb8978eb50,external_reference_evidence,reference_context,1,13385.0
warehouse_measurement:time_bin:morning:a7d256ba56ed,warehouse_measurement,time_bin,12754,12754.0
warehouse_measurement:application:streaming:da842c42d620,warehouse_measurement,application,12626,12626.0
warehouse_measurement:time_bin:night:adb97e8d5c5b,warehouse_measurement,time_bin,12616,12616.0
warehouse_measurement:application:gaming:1713654f8e61,warehouse_measurement,application,12569,12569.0
warehouse_measurement:time_bin:afternoon:c63cfe316a11,warehouse_measurement,time_bin,12478,12478.0
warehouse_measurement:application:browse:8a591a636acd,warehouse_measurement,application,12432,12432.0
warehouse_measurement:network_type:4g:d80d68f8b179,warehouse_measurement,network_type,12390,12390.0
warehouse_measurement:radio_band:lte_anchor:09a35e0e753a,warehouse_measurement,radio_band,12390,12390.0
warehouse_measurement:application:call:10a6099538ce,warehouse_measurement,application,12373,12373.0
warehouse_measurement:time_bin:evening:88f72072a8ee,warehouse_measurement,time_bin,12152,12152.0
external_reference_evidence:reference_context:scenario_animated-ninjago:22c05efc56ad,external_reference_evidence,reference_context,1,11934.0
warehouse_measurement:tower_load:heavy:76261d9d57d8,warehouse_measurement,tower_load,10000,10000.0
warehouse_measurement:infrastructure:moderately_degraded:1741834fe586,warehouse_measurement,infrastructure,9800,9800.0
warehouse_measurement:weather:rainy:6774539fd222,warehouse_measurement,weather,9770,9770.0
warehouse_measurement:congestion:low:9f5f34161a9a,warehouse_measurement,congestion,9122,9122.0
warehouse_measurement:obstruction:high:13c8042ce1f1,warehouse_measurement,obstruction,8030,8030.0
warehouse_measurement:radio_band:n28:0fa4df2ec7ad,warehouse_measurement,radio_band,7420,7420.0
context_cooccurrence:context_value:radio_band_n257:b9d330068dfa,context_cooccurrence,context_value,29,6700.0
context_cooccurrence:context_value:radio_band_n79:b85c8ced654f,context_cooccurrence,context_value,29,6500.0
warehouse_measurement:weather:foggy:ffaecf5ff631,warehouse_measurement,weather,5070,5070.0
warehouse_measurement:radio_band:n260:03941495e5b0,warehouse_measurement,radio_band,4100,4100.0
warehouse_measurement:radio_band:n77:2eee97e31ca2,warehouse_measurement,radio_band,4060,4060.0
external_reference_evidence:metric:packet_loss_fraction:2384704366df,external_reference_evidence,metric,3,3586.0
external_reference_evidence:source:campus_qos:7d40f1cbee10,external_reference_evidence,source,175,3326.0
warehouse_measurement:radio_band:n258:7a68d94ff198,warehouse_measurement,radio_band,3160,3160.0
warehouse_measurement:infrastructure:severely_degraded:4cf20cd716fc,warehouse_measurement,infrastructure,2600,2600.0
warehouse_measurement:radio_band:n41:d851aa195344,warehouse_measurement,radio_band,2090,2090.0
warehouse_measurement:mobility:driving:6383045e4799,warehouse_measurement,mobility,1990,1990.0
warehouse_measurement:radio_band:n257:b24c95ef868c,warehouse_measurement,radio_band,670,670.0
warehouse_measurement:radio_band:n79:fcc0f8901e3e,warehouse_measurement,radio_band,650,650.0
external_reference_evidence:reference_context:technology_unknown:b9b9b0829f1c,external_reference_evidence,reference_context,1,633.0
external_reference_evidence:reference_context:network_mode_umts:6953c268e7a5,external_reference_evidence,reference_context,1,492.0
external_reference_evidence:reference_context:network_mode_hsupa:ace84350c56d,external_reference_evidence,reference_context,1,470.0
external_reference_evidence:reference_context:mobility_context_controlled:c08c59309de8,external_reference_evidence,reference_context,2,314.0
external_reference_evidence:reference_context:measurement_context_controlled_testbed:cb0d3c8f605e,external_reference_evidence,reference_context,1,302.0
external_reference_evidence:reference_context:network_mode_hsdpa:8982a386bf39,external_reference_evidence,reference_context,1,163.0
external_reference_evidence:reference_context:measurement_source_wue:9be4922f57e4,external_reference_evidence,reference_context,1,160.0
external_reference_evidence:source:ns3_lena:159e140fa99f,external_reference_evidence,source,23,144.0
external_reference_evidence:reference_context:measurement_source_ntnu:6d4048c2bd4e,external_reference_evidence,reference_context,1,142.0
external_reference_evidence:reference_context:technology_2g:d68129b07678,external_reference_evidence,reference_context,1,91.0
external_reference_evidence:reference_context:network_mode_gprs:8e182c1ab7fd,external_reference_evidence,reference_context,1,78.0
warehouse_measurement:measurement:synnetqos_m_00027822:406642f64a00,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027609:6aed4117550e,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044604:4a0243971e60,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027522:1d59423ccce4,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027817:e3241662253e,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027612:46c6eee58d83,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044603:d57317aa2e9a,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027613:0a4feca23556,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027614:9fc3ffa70596,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044616:a4389f5f060b,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027549:91e007d9fe94,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044622:82faa133ac84,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027523:748000635eeb,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027824:026461c91ac8,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027615:7400ef9e2bf2,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044618:9add75b36a2b,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027524:e5e36fab9d5f,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027608:775b3de343cd,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027607:4b53783ade11,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044615:63a14d6ea7e2,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027552:634eaa0ccb28,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027606:0bfb863f6751,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027605:b131af6c053b,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027525:3c90bfdee4c7,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027553:aada787d78a9,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027526:130d0a0a4e58,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027554:7707b53ad8ea,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027555:4a1d77ae7f15,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044617:81a178f77c83,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027816:504753da73c4,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027616:6d1ca3ea37f3,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027603:65584370e4ff,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027813:44daf2f1249c,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027516:2f570bb131bb,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027632:621d82365bc6,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044599:eaa6458a83e6,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027517:990baa1ad267,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027629:78379282ef8b,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027628:72b5d65ac95c,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027627:44de9f918b27,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027544:f73ed47c8cf9,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027542:be245ae196cd,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027626:e8bf9abe64a9,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027625:28c7f50d9ce7,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027624:1b42d2d3e0e6,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027814:abc8ff64c705,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027545:b95b5ad48d6b,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027815:ebde5c3b5684,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027546:d3d24999ba03,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027547:bcc82cfaf212,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027623:05c5cac2e791,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027548:5b50f87a3497,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027518:25b08e14bdff,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027622:171f0b5998da,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044602:09f27fc88313,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027619:1d38ad704cc8,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027618:26a680a2b527,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027617:f738cd26f9ad,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027519:a272c0543e5b,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027604:57d91178a554,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027602:6a9296f0c689,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027537:07b2ac864ca1,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027575:a04184d7fb3d,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027559:6a01ef54cd8a,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027584:5c54794ca2d9,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027583:e316fe435399,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044614:935e1aaba91d,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044613:97c6683a6369,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027582:89db2478d9c7,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044609:f66fd7319ef8,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027579:37f4d795f79c,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027578:3f7e6bc477ea,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027533:44464074cba4,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027562:dc86855d92a3,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027577:7720002269da,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027576:7466d781901a,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027574:d78dcbc1ca03,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044605:ecb526c68376,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027563:19a8cd9dad4c,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027534:ee4655b66814,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027573:5bb527455e38,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027572:2209b47b8688,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027564:de1d33040c8e,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027535:f6410a080215,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044612:44744a83612d,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027569:1414925ef252,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027568:eb3a5cc1b19e,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027567:c81e993e3720,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027566:66f8bcce2c74,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027565:4bb7625690a9,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027536:5089c544370a,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027532:c029b33951a4,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027585:59ad1d87ae89,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027586:a6f48c83ca71,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027587:fa29c87474d2,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044606:01f8f5d63c29,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027599:ae5ff2adc351,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027556:cec194eb267e,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027539:8f70b2dd272f,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027527:0db022569b90,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027818:2868a838c37c,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027538:118b3d204cca,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044563:77e97edb7f33,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027598:645b7f17ba03,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027597:6803d392e6be,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027528:556984abffdf,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027529:d6f36545d2a0,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027596:710641a9dd5f,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027595:1ef4761a239e,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027594:33ea8b6ea303,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027593:77e964496807,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027592:2a1ab608be99,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027543:2036bcae97a5,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027819:661c99208b4d,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044619:f6925d40e68f,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027823:366474631cab,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044562:78c4e258c7f5,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027557:62099f3fe42f,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027558:0aa3d2458bfe,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044608:4fa6cf53c6ab,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027589:9f1b35213778,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027588:297f06df2261,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044607:6b1ecc0d6a0c,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044566:a38f1dc54861,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027633:75d6eff97d60,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027744:1007c66ce63e,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027737:643ec84651b6,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027738:6a1b5af07f63,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027739:b949ba2c257d,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044579:d67e6c4beca4,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044578:d0199b6e2e59,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027742:acd8ca7b4352,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027802:cfc9fb3523ea,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027743:5e089d8a4fb8,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027745:25089eeeb6ee,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027735:5146c3f2f58b,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027746:31dd3f155166,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027747:d2ad94a9694f,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027748:775d45801958,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027749:0a6ba6ac633a,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044577:da0fa0160fe3,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00044576:e98dd486a0eb,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027752:22d9775b3048,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027753:cabdcb229180,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027736:2e79c254e4ed,warehouse_measurement,measurement,14,14.0
warehouse_measurement:measurement:synnetqos_m_00027803:c83e1623726a,warehouse_measurement,measurement,14,14.0
