edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,measurement_id,session_id,source_column,source_value,context_family,source_measurement_id,target_measurement_id,source_service_degraded,target_service_degraded,row_count,support_fraction,degraded_count,degradation_rate,baseline_degradation_rate,degradation_lift,source_context_family,target_context_family,source_dataset,metric,non_missing_count,non_missing_fraction,comparison_status,recommended_use,claim_scope,reference_dataset,comparison_context,median_difference,wasserstein_distance,ks_statistic,comparison_scope
edge_0d93c8927b85953a7f,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:download_throughput_mbps_campus_qos_unfiltered:33e5e01a98e7,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,download_throughput_mbps,,,,main_text_candidate,,campus_qos,unfiltered,-48.445055249175695,51.06119800113255,0.6310662251655629,selected-variable plausibility comparison; not field validation
edge_817d3adc19ac99e3d4,external_reference_evidence:comparison:signal_dbm_vienna_4g5g_unfiltered:041543d3a3dc,external_reference_evidence:metric:signal_dbm:3a4d672c419a,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,signal_dbm,,,,main_text_candidate,,vienna_4g5g,unfiltered,-2.984999999999999,4.17331195552063,0.0978,selected-variable plausibility comparison; not field validation
edge_0d5809c2ac7f60d5d6,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:jitter_ms_campus_qos_unfiltered:0388fd4853c1,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,jitter_ms,,,,supplementary_or_table,,campus_qos,unfiltered,0.031104424873265,0.104044299936913,0.175451655629139,selected-variable plausibility comparison; not field validation
edge_9d83c83b82ce44e52f,external_reference_evidence:source:campus_qos:7d40f1cbee10,external_reference_evidence:comparison:jitter_ms_campus_qos_unfiltered:0388fd4853c1,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,jitter_ms,,,,supplementary_or_table,,campus_qos,unfiltered,0.031104424873265,0.104044299936913,0.175451655629139,selected-variable plausibility comparison; not field validation
edge_780b318f437bf45a19,external_reference_evidence:comparison:jitter_ms_campus_qos_unfiltered:0388fd4853c1,external_reference_evidence:metric:jitter_ms:5629abf68229,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,jitter_ms,,,,supplementary_or_table,,campus_qos,unfiltered,0.031104424873265,0.104044299936913,0.175451655629139,selected-variable plausibility comparison; not field validation
edge_5b37a65191c47ac653,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:jitter_ms_ucc_5g_context_unfiltered:a928f1613ee6,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,jitter_ms,,,,supplementary_or_table,,ucc_5g_context,unfiltered,-2.78,8.431350029925186,0.9614483790523692,selected-variable plausibility comparison; not field validation
edge_d707944746a2d327e3,external_reference_evidence:source:ucc_5g_context:3bfe5e5f2660,external_reference_evidence:comparison:jitter_ms_ucc_5g_context_unfiltered:a928f1613ee6,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,jitter_ms,,,,supplementary_or_table,,ucc_5g_context,unfiltered,-2.78,8.431350029925186,0.9614483790523692,selected-variable plausibility comparison; not field validation
edge_53b13ac38312094ecc,external_reference_evidence:comparison:jitter_ms_ucc_5g_context_unfiltered:a928f1613ee6,external_reference_evidence:metric:jitter_ms:5629abf68229,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,jitter_ms,,,,supplementary_or_table,,ucc_5g_context,unfiltered,-2.78,8.431350029925186,0.9614483790523692,selected-variable plausibility comparison; not field validation
edge_b91ad883380b4fae3c,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:latency_ms_ucc_5g_context_unfiltered:265d297896cd,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,latency_ms,,,,supplementary_or_table,,ucc_5g_context,unfiltered,46.02,60.06613276309227,0.4917553615960099,selected-variable plausibility comparison; not field validation
edge_42fd0a68e97d28c5b5,external_reference_evidence:source:ucc_5g_context:3bfe5e5f2660,external_reference_evidence:comparison:latency_ms_ucc_5g_context_unfiltered:265d297896cd,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,latency_ms,,,,supplementary_or_table,,ucc_5g_context,unfiltered,46.02,60.06613276309227,0.4917553615960099,selected-variable plausibility comparison; not field validation
edge_5f7ea4d8f79d04f3ed,external_reference_evidence:comparison:latency_ms_ucc_5g_context_unfiltered:265d297896cd,external_reference_evidence:metric:latency_ms:d96181fbcbbb,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,latency_ms,,,,supplementary_or_table,,ucc_5g_context,unfiltered,46.02,60.06613276309227,0.4917553615960099,selected-variable plausibility comparison; not field validation
edge_e8491b93d597add240,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:offered_downlink_mbps_campus_qos_unfiltered:63c525e399ea,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,offered_downlink_mbps,,,,supplementary_or_table,,campus_qos,unfiltered,-81.34,140.01166274172186,0.5192,selected-variable plausibility comparison; not field validation
edge_b81b0f240cdd6e6fba,external_reference_evidence:source:campus_qos:7d40f1cbee10,external_reference_evidence:comparison:offered_downlink_mbps_campus_qos_unfiltered:63c525e399ea,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,offered_downlink_mbps,,,,supplementary_or_table,,campus_qos,unfiltered,-81.34,140.01166274172186,0.5192,selected-variable plausibility comparison; not field validation
edge_00bdf206eb2725f5b8,external_reference_evidence:comparison:offered_downlink_mbps_campus_qos_unfiltered:63c525e399ea,external_reference_evidence:metric:offered_downlink_mbps:4a86974694c8,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,offered_downlink_mbps,,,,supplementary_or_table,,campus_qos,unfiltered,-81.34,140.01166274172186,0.5192,selected-variable plausibility comparison; not field validation
edge_e95cab4ddc08f0572a,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:upload_throughput_mbps_campus_qos_unfiltered:40ab23e47be5,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,upload_throughput_mbps,,,,supplementary_or_table,,campus_qos,unfiltered,-8.167868687412895,7.112912179402203,0.4684331125827815,selected-variable plausibility comparison; not field validation
edge_f3a84940f202b9c0a0,external_reference_evidence:source:campus_qos:7d40f1cbee10,external_reference_evidence:comparison:upload_throughput_mbps_campus_qos_unfiltered:40ab23e47be5,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,upload_throughput_mbps,,,,supplementary_or_table,,campus_qos,unfiltered,-8.167868687412895,7.112912179402203,0.4684331125827815,selected-variable plausibility comparison; not field validation
edge_1268b7ccc0f23945fe,external_reference_evidence:comparison:upload_throughput_mbps_campus_qos_unfiltered:40ab23e47be5,external_reference_evidence:metric:upload_throughput_mbps:599874e4d7f5,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,upload_throughput_mbps,,,,supplementary_or_table,,campus_qos,unfiltered,-8.167868687412895,7.112912179402203,0.4684331125827815,selected-variable plausibility comparison; not field validation
edge_8432fcfd9da30952c7,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:upload_throughput_mbps_ucc_5g_context_download_context:ffaf9b134218,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,upload_throughput_mbps,,,,supplementary_or_table,,ucc_5g_context,Download context,0.892,6.2483293999999985,0.7023,selected-variable plausibility comparison; not field validation
edge_d5970120fdc57a484d,external_reference_evidence:source:ucc_5g_context:3bfe5e5f2660,external_reference_evidence:comparison:upload_throughput_mbps_ucc_5g_context_download_context:ffaf9b134218,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,upload_throughput_mbps,,,,supplementary_or_table,,ucc_5g_context,Download context,0.892,6.2483293999999985,0.7023,selected-variable plausibility comparison; not field validation
edge_fb61bc9688fbbd7c8e,external_reference_evidence:comparison:upload_throughput_mbps_ucc_5g_context_download_context:ffaf9b134218,external_reference_evidence:metric:upload_throughput_mbps:599874e4d7f5,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,upload_throughput_mbps,,,,supplementary_or_table,,ucc_5g_context,Download context,0.892,6.2483293999999985,0.7023,selected-variable plausibility comparison; not field validation
edge_3c10c1291013a538aa,external_reference_evidence:source:synnetqos:a81eefc24311,external_reference_evidence:comparison:upload_throughput_mbps_vienna_4g5g_unfiltered:2f0b5e096ec4,synnetqos_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,upload_throughput_mbps,,,,supplementary_or_table,,vienna_4g5g,unfiltered,0.49,4.6147060022660185,0.1949,selected-variable plausibility comparison; not field validation
edge_dfb332b64945a776eb,external_reference_evidence:source:vienna_4g5g:9718c68f019b,external_reference_evidence:comparison:upload_throughput_mbps_vienna_4g5g_unfiltered:2f0b5e096ec4,reference_has_comparison,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,upload_throughput_mbps,,,,supplementary_or_table,,vienna_4g5g,unfiltered,0.49,4.6147060022660185,0.1949,selected-variable plausibility comparison; not field validation
edge_d88efc167ca9151465,external_reference_evidence:comparison:upload_throughput_mbps_vienna_4g5g_unfiltered:2f0b5e096ec4,external_reference_evidence:metric:upload_throughput_mbps:599874e4d7f5,comparison_uses_metric,external_reference_evidence,True,1.0,,,,,,,,,,,,,,,,,,,upload_throughput_mbps,,,,supplementary_or_table,,vienna_4g5g,unfiltered,0.49,4.6147060022660185,0.1949,selected-variable plausibility comparison; not field validation
