node_id,node_type,graph_view,node_label,source_dataset,source_column,source_value,session_id,row_count,degraded_count,degradation_fraction
warehouse_measurement:session:s042_00106:bbbf4d98ed74,session,warehouse_measurement,S042_00106,synnetqos,session_id,S042_00106,S042_00106,10,8,0.8
warehouse_measurement:session:s042_00107:c04eef338c64,session,warehouse_measurement,S042_00107,synnetqos,session_id,S042_00107,S042_00107,10,6,0.6
warehouse_measurement:session:s042_00108:206862133a07,session,warehouse_measurement,S042_00108,synnetqos,session_id,S042_00108,S042_00108,10,4,0.4
warehouse_measurement:session:s042_00109:1533ffa3a0a2,session,warehouse_measurement,S042_00109,synnetqos,session_id,S042_00109,S042_00109,10,9,0.9
warehouse_measurement:session:s042_00110:c75bddc8550d,session,warehouse_measurement,S042_00110,synnetqos,session_id,S042_00110,S042_00110,10,7,0.7
warehouse_measurement:session:s042_00111:524a6b94bd1e,session,warehouse_measurement,S042_00111,synnetqos,session_id,S042_00111,S042_00111,10,2,0.2
warehouse_measurement:session:s042_00112:96409df38ad2,session,warehouse_measurement,S042_00112,synnetqos,session_id,S042_00112,S042_00112,10,6,0.6
warehouse_measurement:session:s042_00113:4d7cd72ea7a8,session,warehouse_measurement,S042_00113,synnetqos,session_id,S042_00113,S042_00113,10,9,0.9
warehouse_measurement:session:s042_00114:1a2992e5bf0f,session,warehouse_measurement,S042_00114,synnetqos,session_id,S042_00114,S042_00114,10,9,0.9
warehouse_measurement:session:s042_00115:879c27f493df,session,warehouse_measurement,S042_00115,synnetqos,session_id,S042_00115,S042_00115,10,10,1.0
warehouse_measurement:session:s042_00116:aeae57e94ec5,session,warehouse_measurement,S042_00116,synnetqos,session_id,S042_00116,S042_00116,10,7,0.7
warehouse_measurement:session:s042_00117:8acc0919f092,session,warehouse_measurement,S042_00117,synnetqos,session_id,S042_00117,S042_00117,10,4,0.4
warehouse_measurement:session:s042_00118:6fe33eaa00a1,session,warehouse_measurement,S042_00118,synnetqos,session_id,S042_00118,S042_00118,10,1,0.1
warehouse_measurement:session:s042_00119:5d9906f63ef4,session,warehouse_measurement,S042_00119,synnetqos,session_id,S042_00119,S042_00119,10,10,1.0
warehouse_measurement:session:s042_00120:79588d093352,session,warehouse_measurement,S042_00120,synnetqos,session_id,S042_00120,S042_00120,10,6,0.6
warehouse_measurement:session:s042_00121:d8bc5f51a2e1,session,warehouse_measurement,S042_00121,synnetqos,session_id,S042_00121,S042_00121,10,10,1.0
warehouse_measurement:session:s042_00122:ba9f98f7165c,session,warehouse_measurement,S042_00122,synnetqos,session_id,S042_00122,S042_00122,10,9,0.9
warehouse_measurement:session:s042_00123:fce13f08eead,session,warehouse_measurement,S042_00123,synnetqos,session_id,S042_00123,S042_00123,10,10,1.0
warehouse_measurement:session:s042_00124:7a40f8906db5,session,warehouse_measurement,S042_00124,synnetqos,session_id,S042_00124,S042_00124,10,5,0.5
warehouse_measurement:session:s042_00125:7cc2f43dd91d,session,warehouse_measurement,S042_00125,synnetqos,session_id,S042_00125,S042_00125,10,4,0.4
warehouse_measurement:session:s042_00126:d5e895995d5c,session,warehouse_measurement,S042_00126,synnetqos,session_id,S042_00126,S042_00126,10,9,0.9
warehouse_measurement:session:s042_00127:0e09f7af9d73,session,warehouse_measurement,S042_00127,synnetqos,session_id,S042_00127,S042_00127,10,3,0.3
warehouse_measurement:session:s042_00128:d06b543a2c6f,session,warehouse_measurement,S042_00128,synnetqos,session_id,S042_00128,S042_00128,10,4,0.4
warehouse_measurement:session:s042_00129:32ef6ebe8524,session,warehouse_measurement,S042_00129,synnetqos,session_id,S042_00129,S042_00129,10,1,0.1
warehouse_measurement:session:s042_00130:6271a11b6179,session,warehouse_measurement,S042_00130,synnetqos,session_id,S042_00130,S042_00130,10,2,0.2
warehouse_measurement:session:s042_00131:d2a335d30468,session,warehouse_measurement,S042_00131,synnetqos,session_id,S042_00131,S042_00131,10,5,0.5
warehouse_measurement:session:s042_00132:592e0c98f67c,session,warehouse_measurement,S042_00132,synnetqos,session_id,S042_00132,S042_00132,10,5,0.5
warehouse_measurement:session:s042_00133:6e6df9849e74,session,warehouse_measurement,S042_00133,synnetqos,session_id,S042_00133,S042_00133,10,3,0.3
warehouse_measurement:session:s042_00134:30fca003c448,session,warehouse_measurement,S042_00134,synnetqos,session_id,S042_00134,S042_00134,10,8,0.8
warehouse_measurement:session:s042_00135:ed26a968d071,session,warehouse_measurement,S042_00135,synnetqos,session_id,S042_00135,S042_00135,10,8,0.8
warehouse_measurement:session:s042_00136:82e5ad9460c3,session,warehouse_measurement,S042_00136,synnetqos,session_id,S042_00136,S042_00136,10,6,0.6
warehouse_measurement:session:s042_00137:e3280247ac57,session,warehouse_measurement,S042_00137,synnetqos,session_id,S042_00137,S042_00137,10,8,0.8
warehouse_measurement:session:s042_00138:c1e827bfc308,session,warehouse_measurement,S042_00138,synnetqos,session_id,S042_00138,S042_00138,10,0,0.0
warehouse_measurement:session:s042_00139:c97a2384c4bf,session,warehouse_measurement,S042_00139,synnetqos,session_id,S042_00139,S042_00139,10,9,0.9
warehouse_measurement:session:s042_00140:2f416925e358,session,warehouse_measurement,S042_00140,synnetqos,session_id,S042_00140,S042_00140,10,2,0.2
warehouse_measurement:session:s042_00141:280ca2273e5c,session,warehouse_measurement,S042_00141,synnetqos,session_id,S042_00141,S042_00141,10,9,0.9
warehouse_measurement:session:s042_00142:99e1f66df06d,session,warehouse_measurement,S042_00142,synnetqos,session_id,S042_00142,S042_00142,10,6,0.6
warehouse_measurement:session:s042_00143:ca9d3890bde5,session,warehouse_measurement,S042_00143,synnetqos,session_id,S042_00143,S042_00143,10,1,0.1
warehouse_measurement:session:s042_00144:eb4d06c1fab0,session,warehouse_measurement,S042_00144,synnetqos,session_id,S042_00144,S042_00144,10,10,1.0
warehouse_measurement:session:s042_00145:3666918efad6,session,warehouse_measurement,S042_00145,synnetqos,session_id,S042_00145,S042_00145,10,4,0.4
warehouse_measurement:session:s042_00146:87b754c4c007,session,warehouse_measurement,S042_00146,synnetqos,session_id,S042_00146,S042_00146,10,10,1.0
warehouse_measurement:session:s042_00147:9f66684754de,session,warehouse_measurement,S042_00147,synnetqos,session_id,S042_00147,S042_00147,10,0,0.0
warehouse_measurement:session:s042_00148:80a98c54aefc,session,warehouse_measurement,S042_00148,synnetqos,session_id,S042_00148,S042_00148,10,9,0.9
warehouse_measurement:session:s042_00149:7ac6fe6c946c,session,warehouse_measurement,S042_00149,synnetqos,session_id,S042_00149,S042_00149,10,8,0.8
warehouse_measurement:session:s042_00150:993aca190347,session,warehouse_measurement,S042_00150,synnetqos,session_id,S042_00150,S042_00150,10,6,0.6
warehouse_measurement:session:s042_00151:94d0b57c65f6,session,warehouse_measurement,S042_00151,synnetqos,session_id,S042_00151,S042_00151,10,3,0.3
warehouse_measurement:session:s042_00152:8479a57de7f8,session,warehouse_measurement,S042_00152,synnetqos,session_id,S042_00152,S042_00152,10,10,1.0
warehouse_measurement:session:s042_00153:7a5df46921d9,session,warehouse_measurement,S042_00153,synnetqos,session_id,S042_00153,S042_00153,10,9,0.9
warehouse_measurement:session:s042_00154:92aea655b86d,session,warehouse_measurement,S042_00154,synnetqos,session_id,S042_00154,S042_00154,10,7,0.7
warehouse_measurement:session:s042_00155:5dde42dcedb5,session,warehouse_measurement,S042_00155,synnetqos,session_id,S042_00155,S042_00155,10,10,1.0
warehouse_measurement:session:s042_00156:587385526d02,session,warehouse_measurement,S042_00156,synnetqos,session_id,S042_00156,S042_00156,10,9,0.9
warehouse_measurement:session:s042_00157:c33ed6328048,session,warehouse_measurement,S042_00157,synnetqos,session_id,S042_00157,S042_00157,10,9,0.9
warehouse_measurement:session:s042_00158:44427405a1e7,session,warehouse_measurement,S042_00158,synnetqos,session_id,S042_00158,S042_00158,10,9,0.9
warehouse_measurement:session:s042_00159:77b0af4e7899,session,warehouse_measurement,S042_00159,synnetqos,session_id,S042_00159,S042_00159,10,3,0.3
warehouse_measurement:session:s042_00160:bdf5aa92b3e0,session,warehouse_measurement,S042_00160,synnetqos,session_id,S042_00160,S042_00160,10,2,0.2
warehouse_measurement:session:s042_00161:d1c67c75f2c3,session,warehouse_measurement,S042_00161,synnetqos,session_id,S042_00161,S042_00161,10,4,0.4
warehouse_measurement:session:s042_00162:d191412cd79b,session,warehouse_measurement,S042_00162,synnetqos,session_id,S042_00162,S042_00162,10,0,0.0
warehouse_measurement:session:s042_00163:cdb7f5be9fd3,session,warehouse_measurement,S042_00163,synnetqos,session_id,S042_00163,S042_00163,10,8,0.8
warehouse_measurement:session:s042_00164:b201f27dd9bc,session,warehouse_measurement,S042_00164,synnetqos,session_id,S042_00164,S042_00164,10,7,0.7
warehouse_measurement:session:s042_00165:3d0a8758eaa8,session,warehouse_measurement,S042_00165,synnetqos,session_id,S042_00165,S042_00165,10,1,0.1
warehouse_measurement:session:s042_00166:197ccdcaf2ee,session,warehouse_measurement,S042_00166,synnetqos,session_id,S042_00166,S042_00166,10,2,0.2
warehouse_measurement:session:s042_00167:8c230d10dea3,session,warehouse_measurement,S042_00167,synnetqos,session_id,S042_00167,S042_00167,10,8,0.8
warehouse_measurement:session:s042_00168:5cc92aeec01a,session,warehouse_measurement,S042_00168,synnetqos,session_id,S042_00168,S042_00168,10,2,0.2
warehouse_measurement:session:s042_00169:b725d78721e9,session,warehouse_measurement,S042_00169,synnetqos,session_id,S042_00169,S042_00169,10,0,0.0
warehouse_measurement:session:s042_00170:22b6adc4280c,session,warehouse_measurement,S042_00170,synnetqos,session_id,S042_00170,S042_00170,10,9,0.9
warehouse_measurement:session:s042_00171:2adc45c2752a,session,warehouse_measurement,S042_00171,synnetqos,session_id,S042_00171,S042_00171,10,3,0.3
warehouse_measurement:session:s042_00172:be716a7ba130,session,warehouse_measurement,S042_00172,synnetqos,session_id,S042_00172,S042_00172,10,4,0.4
warehouse_measurement:session:s042_00173:859907ad594e,session,warehouse_measurement,S042_00173,synnetqos,session_id,S042_00173,S042_00173,10,9,0.9
warehouse_measurement:session:s042_00174:7e45cf0d8b5a,session,warehouse_measurement,S042_00174,synnetqos,session_id,S042_00174,S042_00174,10,6,0.6
warehouse_measurement:session:s042_00175:42a01e27c9d7,session,warehouse_measurement,S042_00175,synnetqos,session_id,S042_00175,S042_00175,10,4,0.4
warehouse_measurement:session:s042_00176:dd677b4721f9,session,warehouse_measurement,S042_00176,synnetqos,session_id,S042_00176,S042_00176,10,3,0.3
warehouse_measurement:session:s042_00177:01837585f9c2,session,warehouse_measurement,S042_00177,synnetqos,session_id,S042_00177,S042_00177,10,3,0.3
warehouse_measurement:session:s042_00178:2931c9078c4f,session,warehouse_measurement,S042_00178,synnetqos,session_id,S042_00178,S042_00178,10,6,0.6
warehouse_measurement:session:s042_00179:5701b4602562,session,warehouse_measurement,S042_00179,synnetqos,session_id,S042_00179,S042_00179,10,0,0.0
warehouse_measurement:session:s042_00180:9a1ec0e38f1a,session,warehouse_measurement,S042_00180,synnetqos,session_id,S042_00180,S042_00180,10,2,0.2
warehouse_measurement:session:s042_00181:7319d90bc169,session,warehouse_measurement,S042_00181,synnetqos,session_id,S042_00181,S042_00181,10,6,0.6
warehouse_measurement:session:s042_00182:0bf699e6e3a6,session,warehouse_measurement,S042_00182,synnetqos,session_id,S042_00182,S042_00182,10,0,0.0
warehouse_measurement:session:s042_00183:2cbe2ffe3e36,session,warehouse_measurement,S042_00183,synnetqos,session_id,S042_00183,S042_00183,10,10,1.0
warehouse_measurement:session:s042_00184:a029205e6cca,session,warehouse_measurement,S042_00184,synnetqos,session_id,S042_00184,S042_00184,10,7,0.7
warehouse_measurement:session:s042_00185:0f269980bf2e,session,warehouse_measurement,S042_00185,synnetqos,session_id,S042_00185,S042_00185,10,7,0.7
warehouse_measurement:session:s042_00186:5c573b24c424,session,warehouse_measurement,S042_00186,synnetqos,session_id,S042_00186,S042_00186,10,10,1.0
warehouse_measurement:session:s042_00187:20ed31e98c12,session,warehouse_measurement,S042_00187,synnetqos,session_id,S042_00187,S042_00187,10,4,0.4
warehouse_measurement:session:s042_00188:6eb7cecc3899,session,warehouse_measurement,S042_00188,synnetqos,session_id,S042_00188,S042_00188,10,4,0.4
warehouse_measurement:session:s042_00189:e570b0d105a5,session,warehouse_measurement,S042_00189,synnetqos,session_id,S042_00189,S042_00189,10,3,0.3
