measurement_id,session_id,timestamp,service_degraded,high_latency,high_jitter,downlink_service_shortfall,poor_video_quality,hour,is_weekend,signal_strength_dbm,los_probability,distance_2d_m,distance_3d_m,breakpoint_distance_m,path_loss_db,deterministic_path_loss_db,shadow_fading_db,fast_fading_db,obstruction_penalty_db,weather_penalty_db,mobility_penalty_db,indoor_penalty_db,contextual_penalty_db,effective_tx_power_dbm,signal_strength_unclipped_dbm,rsrp_clipped,link_capacity_downlink_mbps,link_capacity_upload_mbps,offered_downlink_mbps,offered_upload_mbps,battery_level_percent,temperature_c,connected_duration_min,interval_handover_count,cumulative_handover_count,activity_factor,data_usage_mb,distance_to_tower_km,carrier_frequency_ghz,day_of_week,time_of_day_bin,deployment_area,area_type,ue_profile,ue_capability_class,network_type,operator_profile,infrastructure_profile,propagation_model,propagation_scenario,los_state,band,app_type,movement_speed,weather,obstruction_level,congestion_level,tower_load
synnetqos_m_00000011,S042_00001,2025-08-21 01:12:38.741856,0,0,0,0,0,1,False,-94.34,0.05,360.0,360.1,222,138.09,124.74,13.35,1.75,2,0,0,0,2,44,-94.34,False,183.4,45.85,2.66,0.13,95.01,28.3,1,0,0,0.139,2.56,0.36,3.7,Thursday,night,Area_F,Urban,UE-Basic,Basic,5G NSA,Operator_F,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n77,Call,Static,Clear,Low,Medium,Moderate
synnetqos_m_00000012,S042_00001,2025-08-21 01:13:38.741856,0,0,0,0,0,1,False,-78.84,0.05,360.0,360.1,222,121.95,124.74,-2.79,1.11,2,0,0,0,2,44,-78.84,False,575.86,143.96,1500.0,44.22,94.41,30.9,2,0,0,0.12,483.41,0.36,3.7,Thursday,night,Area_F,Urban,UE-Basic,Basic,5G NSA,Operator_F,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n77,Streaming,Static,Clear,Low,Low,Light
synnetqos_m_00000013,S042_00001,2025-08-21 01:14:38.741856,0,0,0,0,0,1,False,-84.01,0.05,360.0,360.1,222,126.7,124.74,1.96,0.69,2,0,0,0,2,44,-84.01,False,127.19,31.8,73.61,7.02,94.29,27.2,3,0,0,0.07,34.6,0.36,3.7,Thursday,night,Area_F,Urban,UE-Basic,Basic,5G NSA,Operator_F,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n77,Gaming,Static,Clear,Low,High,Light
synnetqos_m_00000014,S042_00001,2025-08-21 01:15:38.741856,0,0,0,0,0,1,False,-73.55,0.05,360.0,360.1,222,117.12,124.74,-7.62,1.57,2,0,0,0,2,44,-73.55,False,150.77,37.69,86.99,0.27,94.16,27.7,4,0,0,0.104,67.53,0.36,3.7,Thursday,night,Area_F,Urban,UE-Basic,Basic,5G NSA,Operator_F,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n77,Browse,Static,Clear,Low,High,Heavy
synnetqos_m_00000015,S042_00001,2025-08-21 01:16:38.741856,0,0,0,0,0,1,False,-81.46,0.05,360.0,360.1,222,124.14,124.74,-0.6,0.68,2,0,0,0,2,44,-81.46,False,551.41,137.85,517.92,1.69,93.67,27.5,5,0,0,0.099,379.9,0.36,3.7,Thursday,night,Area_F,Urban,UE-Basic,Basic,5G NSA,Operator_F,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n77,Gaming,Static,Clear,Low,Low,Light
synnetqos_m_00000016,S042_00001,2025-08-21 01:17:38.741856,0,0,0,0,0,1,False,-79.57,0.05,360.0,360.1,222,123.0,124.74,-1.75,1.43,2,0,0,0,2,44,-79.57,False,329.93,82.48,15.35,0.26,93.58,29.4,6,0,0,0.087,10.31,0.36,3.7,Thursday,night,Area_F,Urban,UE-Basic,Basic,5G NSA,Operator_F,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n77,Browse,Static,Clear,Low,Medium,Light
synnetqos_m_00000017,S042_00001,2025-08-21 01:18:38.741856,0,0,0,0,0,1,False,-90.9,0.0571,315.81,315.92,222,131.01,122.74,8.27,0.1,2,0,2,0,4,44,-90.9,False,201.57,50.39,208.13,0.95,93.31,29.2,7,2,2,0.113,161.05,0.316,3.7,Thursday,night,Area_F,Urban,UE-Basic,Basic,5G NSA,Operator_F,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n77,Browse,Walking,Clear,Low,Medium,Moderate
synnetqos_m_00000018,S042_00001,2025-08-21 01:19:38.741856,0,0,0,0,0,1,False,-81.9,0.0465,387.67,387.77,222,123.41,125.88,-2.47,1.52,2,0,2,0,4,44,-81.9,False,289.56,72.39,64.59,0.12,93.18,28.5,8,2,4,0.109,51.18,0.388,3.7,Thursday,night,Area_F,Urban,UE-Basic,Basic,5G NSA,Operator_F,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n77,Browse,Walking,Clear,Low,Medium,Moderate
synnetqos_m_00000019,S042_00001,2025-08-21 01:20:38.741856,0,0,0,0,0,1,False,-79.86,0.0461,390.89,390.98,222,120.29,126.01,-5.71,0.43,2,0,2,0,4,44,-79.86,False,519.78,129.94,106.15,0.61,93.01,28.3,9,1,5,0.111,89.2,0.391,3.7,Thursday,night,Area_F,Urban,UE-Basic,Basic,5G NSA,Operator_F,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n77,Browse,Walking,Clear,Low,Low,Light
synnetqos_m_00000020,S042_00001,2025-08-21 01:21:38.741856,0,0,0,0,0,1,False,-75.01,0.0513,351.26,351.37,222,118.33,124.37,-6.04,3.32,2,0,2,0,4,44,-75.01,False,314.28,78.57,82.02,11.25,92.86,29.8,10,0,5,0.123,76.17,0.351,3.7,Thursday,night,Area_F,Urban,UE-Basic,Basic,5G NSA,Operator_F,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n77,Streaming,Walking,Clear,Low,Medium,Light
synnetqos_m_00000021,S042_00002,2025-08-15 06:33:03.286742,1,1,0,1,1,6,False,-123.54,0.0132,1360.0,1360.03,210,139.07,144.6,-5.53,-0.47,18,0,0,10,28,44,-123.54,False,0.0,0.0,130.95,36.39,81.74,33.3,1,0,0,0.139,0.0,1.36,3.5,Friday,morning,Area_B,Urban,UE-Basic,Basic,5G SA,Operator_A,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Streaming,Static,Clear,High,High,Heavy
synnetqos_m_00000022,S042_00002,2025-08-15 06:34:03.286742,1,1,0,1,0,6,False,-115.05,0.0132,1360.0,1360.03,210,133.37,144.6,-11.23,2.33,18,0,0,10,28,44,-115.05,False,6.67,2.33,83.73,0.58,81.6,32.3,2,0,0,0.103,4.65,1.36,3.5,Friday,morning,Area_B,Urban,UE-Basic,Basic,5G SA,Operator_A,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Browse,Static,Clear,High,High,Heavy
synnetqos_m_00000023,S042_00002,2025-08-15 06:35:03.286742,1,1,0,1,1,6,False,-114.66,0.0132,1360.0,1360.03,210,134.92,144.6,-9.68,4.27,18,0,0,10,28,44,-114.66,False,8.08,2.83,540.85,22.84,81.47,32.6,3,0,0,0.085,4.71,1.36,3.5,Friday,morning,Area_B,Urban,UE-Basic,Basic,5G SA,Operator_A,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Streaming,Static,Clear,High,High,Heavy
synnetqos_m_00000024,S042_00002,2025-08-15 06:36:03.286742,1,1,0,1,1,6,False,-135.0,0.0132,1360.0,1360.03,210,155.96,144.6,11.36,0.72,18,0,0,10,28,44,-139.24,True,7.94,2.78,690.09,21.11,81.32,29.5,4,0,0,0.055,3.29,1.36,3.5,Friday,morning,Area_B,Urban,UE-Basic,Basic,5G SA,Operator_A,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Streaming,Static,Clear,High,High,Heavy
synnetqos_m_00000025,S042_00002,2025-08-15 06:37:03.286742,1,0,0,1,0,6,False,-108.12,0.0132,1360.0,1360.03,210,123.69,124.49,-0.81,-0.44,18,0,0,10,28,44,-108.12,False,59.82,20.94,1359.93,40.76,81.15,31.2,5,0,0,0.108,45.98,1.36,3.5,Friday,morning,Area_B,Urban,UE-Basic,Basic,5G SA,Operator_A,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,n78,Streaming,Static,Clear,High,Low,Light
synnetqos_m_00000026,S042_00002,2025-08-15 06:38:03.286742,1,0,0,1,0,6,False,-135.0,0.0132,1360.0,1360.03,210,152.93,144.6,8.33,-3.58,18,0,0,10,28,44,-140.52,True,0.0,0.0,16.01,0.73,81.0,31.4,6,0,0,0.083,0.0,1.36,3.5,Friday,morning,Area_B,Urban,UE-Basic,Basic,5G SA,Operator_A,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Call,Static,Clear,High,Low,Light
synnetqos_m_00000027,S042_00002,2025-08-15 06:39:03.286742,0,0,0,0,0,6,False,-135.0,0.0132,1360.0,1360.03,210,158.45,144.6,13.84,-0.62,18,0,0,10,28,44,-143.07,True,12.37,4.33,5.42,0.48,80.85,30.7,7,0,0,0.129,5.36,1.36,3.5,Friday,morning,Area_B,Urban,UE-Basic,Basic,5G SA,Operator_A,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Call,Static,Clear,High,Medium,Light
synnetqos_m_00000028,S042_00002,2025-08-15 06:40:03.286742,1,0,0,1,0,6,False,-135.0,0.0126,1428.01,1428.03,210,157.63,145.35,12.28,-0.6,18,0,2,10,30,44,-144.23,True,0.0,0.0,219.76,2.0,80.71,30.2,8,1,1,0.064,0.0,1.428,3.5,Friday,morning,Area_B,Urban,UE-Basic,Basic,5G SA,Operator_A,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Browse,Walking,Clear,High,Medium,Moderate
synnetqos_m_00000029,S042_00002,2025-08-15 06:41:03.286742,1,0,0,1,0,6,False,-135.0,0.0124,1450.89,1450.91,210,153.29,145.59,7.69,0.95,18,0,2,10,30,44,-138.34,True,3.78,1.32,115.24,42.67,80.57,32.9,9,1,2,0.097,2.74,1.451,3.5,Friday,morning,Area_B,Urban,UE-Basic,Basic,5G SA,Operator_A,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Gaming,Walking,Clear,High,Medium,Moderate
synnetqos_m_00000030,S042_00002,2025-08-15 06:42:03.286742,1,0,0,1,0,6,False,-122.93,0.0121,1490.09,1490.11,210,135.41,146.0,-10.6,-1.52,18,0,2,10,30,44,-122.93,False,19.38,6.78,987.95,23.8,80.41,34.3,10,0,2,0.067,9.74,1.49,3.5,Friday,morning,Area_B,Urban,UE-Basic,Basic,5G SA,Operator_A,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Streaming,Walking,Clear,High,Low,Light
synnetqos_m_00000031,S042_00003,2025-08-16 23:24:55.485826,0,0,0,0,0,23,True,-78.6,0.0884,210.0,210.17,210,115.08,115.98,-0.9,2.48,2,8,0,0,10,44,-78.6,False,247.37,86.58,177.34,6.04,96.54,28.8,1,0,0,0.06,81.06,0.21,3.5,Saturday,evening,Area_E,Urban,UE-Advanced,Advanced,5G SA,Operator_M,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Gaming,Static,Foggy,Low,High,Light
synnetqos_m_00000032,S042_00003,2025-08-16 23:25:55.485826,0,0,0,0,0,23,True,-89.79,0.0884,210.0,210.17,210,121.54,115.98,5.56,-2.25,2,8,0,0,10,44,-89.79,False,456.75,159.86,35.69,1.11,96.43,31.7,2,0,0,0.139,36.34,0.21,3.5,Saturday,evening,Area_E,Urban,UE-Advanced,Advanced,5G SA,Operator_M,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Browse,Static,Foggy,Low,Medium,Moderate
synnetqos_m_00000033,S042_00003,2025-08-16 23:26:55.485826,0,0,0,0,0,23,True,-55.12,0.0884,210.0,210.17,210,91.06,92.06,-1.0,1.94,2,8,0,0,10,44,-55.12,False,249.62,87.37,14.83,0.08,96.36,28.2,3,0,0,0.136,13.93,0.21,3.5,Saturday,evening,Area_E,Urban,UE-Advanced,Advanced,5G SA,Operator_M,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,LOS,n78,Call,Static,Foggy,Low,High,Light
synnetqos_m_00000034,S042_00003,2025-08-16 23:27:55.485826,0,0,0,0,0,23,True,-93.58,0.0884,210.0,210.17,210,127.72,115.98,11.75,0.15,2,8,0,0,10,44,-93.58,False,568.15,198.85,161.71,7.96,96.16,26.7,4,0,0,0.11,129.35,0.21,3.5,Saturday,evening,Area_E,Urban,UE-Advanced,Advanced,5G SA,Operator_M,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Gaming,Static,Foggy,Low,Low,Light
synnetqos_m_00000035,S042_00003,2025-08-16 23:28:55.485826,0,0,0,0,0,23,True,-91.68,0.0805,228.33,228.49,210,123.1,117.26,5.84,-0.58,2,8,2,0,12,44,-91.68,False,354.59,124.11,45.62,0.62,96.05,26.6,5,0,0,0.08,24.86,0.228,3.5,Saturday,evening,Area_E,Urban,UE-Advanced,Advanced,5G SA,Operator_M,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Browse,Walking,Foggy,Low,Medium,Moderate
synnetqos_m_00000036,S042_00003,2025-08-16 23:29:55.485826,1,0,0,1,0,23,True,-88.27,0.0805,228.33,228.49,210,117.71,117.26,0.45,-4.57,2,8,0,0,10,44,-88.27,False,202.12,70.74,1241.94,36.15,95.85,27.6,6,0,0,0.094,130.65,0.228,3.5,Saturday,evening,Area_E,Urban,UE-Advanced,Advanced,5G SA,Operator_M,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Streaming,Static,Foggy,Low,High,Heavy
synnetqos_m_00000037,S042_00003,2025-08-16 23:30:55.485826,0,0,0,0,0,23,True,-85.71,0.0805,228.33,228.49,210,115.11,117.26,-2.15,-4.6,2,8,0,0,10,44,-85.71,False,234.88,82.21,6.39,0.86,95.78,33.4,7,0,0,0.075,3.27,0.228,3.5,Saturday,evening,Area_E,Urban,UE-Advanced,Advanced,5G SA,Operator_M,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Call,Static,Foggy,Low,High,Heavy
synnetqos_m_00000038,S042_00003,2025-08-16 23:31:55.485826,0,0,0,0,0,23,True,-84.17,0.0805,228.33,228.49,210,116.26,117.26,-1.0,-1.91,2,8,0,0,10,44,-84.17,False,546.95,191.43,2.22,0.15,95.71,31.3,8,0,0,0.084,1.25,0.228,3.5,Saturday,evening,Area_E,Urban,UE-Advanced,Advanced,5G SA,Operator_M,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Call,Static,Foggy,Low,Medium,Light
synnetqos_m_00000039,S042_00003,2025-08-16 23:32:55.485826,0,0,0,0,0,23,True,-80.23,0.0805,228.33,228.49,210,117.19,117.26,-0.06,2.96,2,8,0,0,10,44,-80.23,False,256.34,89.72,276.12,5.64,95.5,30.2,9,0,0,0.083,154.48,0.228,3.5,Saturday,evening,Area_E,Urban,UE-Advanced,Advanced,5G SA,Operator_M,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Gaming,Static,Foggy,Low,High,Heavy
synnetqos_m_00000040,S042_00003,2025-08-16 23:33:55.485826,0,0,0,0,0,23,True,-71.19,0.0805,228.33,228.49,210,106.32,117.26,-10.94,1.13,2,8,0,0,10,44,-71.19,False,250.99,87.85,3.68,0.04,95.45,28.5,10,0,0,0.117,3.0,0.228,3.5,Saturday,evening,Area_E,Urban,UE-Advanced,Advanced,5G SA,Operator_M,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Call,Static,Foggy,Low,High,Light
synnetqos_m_00000041,S042_00004,2025-08-04 23:21:40.458412,0,0,0,0,0,23,False,-94.62,0.0515,350.0,350.1,1560,134.7,142.35,-7.64,4.09,8,0,0,0,8,44,-94.62,False,475.21,166.32,102.28,3.25,96.72,28.1,1,0,0,0.089,65.46,0.35,26.0,Monday,evening,Area_D,Urban,UE-Standard,Standard,5G SA,Operator_I,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n258,Gaming,Static,Clear,Medium,Low,Light
synnetqos_m_00000042,S042_00004,2025-08-04 23:22:40.458412,1,1,0,1,1,23,False,-114.87,0.0515,350.0,350.1,1560,148.59,142.35,6.24,-2.28,8,0,0,0,8,44,-114.87,False,0.0,0.0,367.44,27.72,96.6,29.7,2,0,0,0.085,0.0,0.35,26.0,Monday,evening,Area_D,Urban,UE-Standard,Standard,5G SA,Operator_I,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n258,Streaming,Static,Clear,Medium,High,Heavy
synnetqos_m_00000043,S042_00004,2025-08-04 23:23:40.458412,0,0,0,0,0,23,False,-101.78,0.0515,350.0,350.1,1560,136.12,142.35,-6.23,0.34,8,0,2,0,10,44,-101.78,False,112.66,39.43,62.84,1.11,96.45,28.2,3,0,0,0.092,44.21,0.35,26.0,Monday,evening,Area_D,Urban,UE-Standard,Standard,5G SA,Operator_I,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n258,Browse,Walking,Clear,Medium,Medium,Moderate
synnetqos_m_00000044,S042_00004,2025-08-04 23:24:40.458412,1,1,0,1,0,23,False,-111.67,0.0515,350.0,350.1,1560,145.17,142.35,2.82,-0.5,8,0,2,0,10,44,-111.67,False,0.0,0.0,438.01,3.74,96.33,29.9,4,1,1,0.094,0.0,0.35,26.0,Monday,evening,Area_D,Urban,UE-Standard,Standard,5G SA,Operator_I,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n258,Gaming,Walking,Clear,Medium,High,Heavy
synnetqos_m_00000045,S042_00004,2025-08-04 23:25:40.458412,0,0,0,0,0,23,False,-109.92,0.0515,350.0,350.1,1560,144.59,142.35,2.24,0.68,8,0,2,0,10,44,-109.92,False,42.59,14.91,82.45,1.25,96.19,27.4,5,2,3,0.121,35.59,0.35,26.0,Monday,evening,Area_D,Urban,UE-Standard,Standard,5G SA,Operator_I,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n258,Browse,Walking,Clear,Medium,Medium,Light
synnetqos_m_00000046,S042_00004,2025-08-04 23:26:40.458412,1,0,0,1,0,23,False,-107.79,0.0536,336.63,336.73,1560,144.36,141.75,2.61,2.57,8,0,2,0,10,44,-107.79,False,28.58,10.0,404.75,19.21,96.06,29.1,6,0,3,0.059,12.64,0.337,26.0,Monday,evening,Area_D,Urban,UE-Standard,Standard,5G SA,Operator_I,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n258,Gaming,Walking,Clear,Medium,Medium,Moderate
synnetqos_m_00000047,S042_00004,2025-08-04 23:27:40.458412,1,0,0,1,0,23,False,-113.26,0.056,322.26,322.38,1560,147.62,141.08,6.53,0.36,8,0,2,0,10,44,-113.26,False,11.41,3.99,348.08,1.7,95.93,27.0,7,1,4,0.106,9.09,0.322,26.0,Monday,evening,Area_D,Urban,UE-Standard,Standard,5G SA,Operator_I,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n258,Browse,Walking,Clear,Medium,Medium,Moderate
synnetqos_m_00000048,S042_00004,2025-08-04 23:28:40.458412,1,0,0,1,0,23,False,-109.02,0.0515,350.0,350.1,1560,143.13,142.35,0.78,0.11,8,0,2,0,10,44,-109.02,False,39.87,13.95,147.47,5.45,95.8,26.3,8,2,6,0.075,22.34,0.35,26.0,Monday,evening,Area_D,Urban,UE-Standard,Standard,5G SA,Operator_I,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n258,Gaming,Walking,Clear,Medium,Medium,Moderate
synnetqos_m_00000049,S042_00004,2025-08-04 23:29:40.458412,0,0,0,0,0,23,False,-98.74,0.0515,350.0,350.1,1560,132.22,142.35,-10.13,-0.52,8,0,2,0,10,44,-98.74,False,156.69,54.84,0.71,0.38,95.7,30.5,9,1,7,0.146,0.81,0.35,26.0,Monday,evening,Area_D,Urban,UE-Standard,Standard,5G SA,Operator_I,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n258,Call,Walking,Clear,Medium,Medium,Moderate
synnetqos_m_00000050,S042_00004,2025-08-04 23:30:40.458412,1,1,0,1,1,23,False,-108.96,0.0566,319.02,319.13,1560,141.39,140.93,0.46,-1.57,8,0,2,0,10,44,-108.96,False,10.04,3.51,1500.0,14.77,95.58,24.8,10,0,7,0.135,9.22,0.319,26.0,Monday,evening,Area_D,Urban,UE-Standard,Standard,5G SA,Operator_I,Moderately_Degraded,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n258,Streaming,Walking,Clear,Medium,High,Heavy
synnetqos_m_00000051,S042_00005,2025-08-18 06:52:48.035137,0,0,0,0,0,6,False,-98.73,0.0419,430.0,430.08,210,125.78,126.95,-1.17,1.06,8,0,0,10,18,44,-98.73,False,191.77,67.12,7.51,0.93,86.25,29.4,1,0,0,0.132,6.85,0.43,3.5,Monday,morning,Area_D,Urban,UE-Advanced,Advanced,5G SA,Operator_J,Nominal,tr38901_umi_street_canyon,UMi_Street_Canyon,NLOS,n78,Call,Static,Clear,Medium,Medium,Light
