measurement_id,session_id,timestamp,service_degraded,signal_strength_dbm,los_probability,distance_2d_m,path_loss_db,contextual_penalty_db,link_capacity_downlink_mbps,offered_downlink_mbps,download_speed_mbps,offered_upload_mbps,upload_speed_mbps,latency_ms,jitter_ms,ping_ms,interval_handover_count,activity_factor,data_usage_mb,distance_to_tower_km,throughput_satisfaction_ratio,downlink_shortfall_fraction,network_type,infrastructure_profile,band,app_type,movement_speed,weather,obstruction_level,congestion_level,tower_load,time_of_day_bin
synnetqos_m_00000047,S042_00004,2025-08-04 23:27:40.458412,1,-113.26,0.056,322.26,147.62,10,11.41,348.08,11.41,1.7,1.71,134.25,0.26,128.9,1,0.106,9.09,0.322,0.03277982073086647,0.9672201792691335,5G SA,Moderately_Degraded,n258,Browse,Walking,Clear,Medium,Medium,Moderate,evening
synnetqos_m_00000048,S042_00004,2025-08-04 23:28:40.458412,1,-109.02,0.0515,350.0,143.13,10,39.87,147.47,39.87,5.45,4.91,118.7,0.15,122.0,2,0.075,22.34,0.35,0.27036007323523426,0.7296399267647657,5G SA,Moderately_Degraded,n258,Gaming,Walking,Clear,Medium,Medium,Moderate,evening
synnetqos_m_00000049,S042_00004,2025-08-04 23:29:40.458412,0,-98.74,0.0515,350.0,132.22,10,156.69,0.71,0.74,0.38,0.36,73.8,0.14,72.7,1,0.146,0.81,0.35,1.0422535211267605,0.0,5G SA,Moderately_Degraded,n258,Call,Walking,Clear,Medium,Medium,Moderate,evening
synnetqos_m_00000050,S042_00004,2025-08-04 23:30:40.458412,1,-108.96,0.0566,319.02,141.39,10,10.04,1500.0,9.13,14.77,3.51,181.32,0.51,186.3,0,0.135,9.22,0.319,0.006086666666666667,0.9939133333333333,5G SA,Moderately_Degraded,n258,Streaming,Walking,Clear,Medium,High,Heavy,evening
synnetqos_m_00000051,S042_00005,2025-08-18 06:52:48.035137,0,-98.73,0.0419,430.0,125.78,18,191.77,7.51,6.93,0.93,0.84,72.4,0.08,69.5,0,0.132,6.85,0.43,0.9227696404793608,0.07723035952063917,5G SA,Nominal,n78,Call,Static,Clear,Medium,Medium,Light,morning
synnetqos_m_00000052,S042_00005,2025-08-18 06:53:48.035137,0,-101.99,0.0419,430.0,127.73,18,116.31,6.51,6.1,0.76,0.78,77.99,0.09,74.0,0,0.111,5.08,0.43,0.9370199692780338,0.06298003072196623,5G SA,Nominal,n78,Call,Static,Clear,Medium,Medium,Moderate,morning
synnetqos_m_00000053,S042_00005,2025-08-18 06:54:48.035137,0,-97.69,0.0419,430.0,121.81,18,212.39,33.58,32.13,0.25,0.25,72.04,0.18,63.4,0,0.115,27.75,0.43,0.9568195354377607,0.04318046456223934,5G SA,Nominal,n78,Browse,Static,Clear,Medium,Medium,Moderate,morning
synnetqos_m_00000054,S042_00005,2025-08-18 06:55:48.035137,0,-88.33,0.0419,430.0,113.24,18,811.77,26.87,24.27,0.53,0.53,39.14,0.04,37.5,0,0.057,10.42,0.43,0.903237811685895,0.09676218831410499,5G SA,Nominal,n78,Call,Static,Clear,Medium,Low,Light,morning
synnetqos_m_00000055,S042_00005,2025-08-18 06:56:48.035137,0,-90.68,0.0419,430.0,116.88,18,194.68,15.26,15.63,0.5,0.5,78.56,0.2,80.6,0,0.125,14.6,0.43,1.0242463958060288,0.0,5G SA,Nominal,n78,Call,Static,Clear,Medium,High,Heavy,morning
synnetqos_m_00000056,S042_00005,2025-08-18 06:57:48.035137,0,-98.1,0.0419,430.0,125.72,18,207.51,83.7,82.9,0.58,0.55,79.14,0.06,75.6,0,0.065,40.31,0.43,0.990442054958184,0.009557945041815952,5G SA,Nominal,n78,Browse,Static,Clear,Medium,Medium,Moderate,morning
synnetqos_m_00000057,S042_00005,2025-08-18 06:58:48.035137,0,-108.95,0.0419,430.0,131.44,18,34.01,82.24,31.71,0.6,0.58,109.13,0.15,113.1,0,0.103,24.51,0.43,0.3855787937743191,0.6144212062256809,5G SA,Nominal,n78,Browse,Static,Clear,Medium,Medium,Moderate,morning
synnetqos_m_00000058,S042_00005,2025-08-18 06:59:48.035137,0,-97.71,0.0419,430.0,124.2,18,239.58,402.51,231.25,75.63,77.14,77.63,0.11,81.3,0,0.086,149.05,0.43,0.5745198877046533,0.42548011229534666,5G SA,Nominal,n78,Streaming,Static,Clear,Medium,Medium,Moderate,morning
synnetqos_m_00000059,S042_00005,2025-08-18 07:00:48.035137,0,-95.76,0.0419,430.0,121.27,18,283.65,2.41,2.48,0.83,0.83,63.68,0.11,65.5,0,0.115,2.15,0.43,1.0290456431535269,0.0,5G SA,Nominal,n78,Call,Static,Clear,Medium,Medium,Light,morning
synnetqos_m_00000060,S042_00005,2025-08-18 07:01:48.035137,0,-103.73,0.0419,430.0,126.4,18,90.39,133.11,90.39,59.79,31.64,92.2,0.15,94.9,0,0.095,64.18,0.43,0.6790624295695289,0.3209375704304711,5G SA,Nominal,n78,Streaming,Static,Clear,Medium,Medium,Light,morning
synnetqos_m_00000061,S042_00006,2025-07-29 17:47:37.444315,0,-55.08,0.1098,175.05,94.56,4,414.3,38.98,38.74,2.56,2.64,15.52,0.04,18.4,0,0.066,19.25,0.175,0.9938429964084147,0.0061570035915853305,5G SA,Moderately_Degraded,n28,Browse,Walking,Clear,Low,Medium,Moderate,afternoon
synnetqos_m_00000062,S042_00006,2025-07-29 17:48:37.444315,0,-54.22,0.1098,175.05,98.67,2,457.57,389.02,407.54,10.61,10.77,11.45,0.01,8.0,0,0.058,177.14,0.175,1.0476068068479771,0.0,5G SA,Moderately_Degraded,n28,Gaming,Static,Clear,Low,Medium,Moderate,afternoon
synnetqos_m_00000063,S042_00006,2025-07-29 17:49:37.444315,0,-57.14,0.0862,214.73,95.14,4,181.77,282.58,169.54,0.41,0.43,21.22,0.06,21.0,0,0.125,158.45,0.215,0.5999716894330809,0.4000283105669191,5G SA,Moderately_Degraded,n28,Browse,Walking,Clear,Low,High,Heavy,afternoon
synnetqos_m_00000064,S042_00006,2025-07-29 17:50:37.444315,0,-86.03,0.0326,552.14,118.89,8,317.1,280.24,266.93,4.57,4.15,68.11,0.15,71.3,5,0.091,181.51,0.552,0.952504995717956,0.04749500428204401,5G SA,Moderately_Degraded,n28,Gaming,Driving,Clear,Low,Medium,Moderate,afternoon
synnetqos_m_00000065,S042_00006,2025-07-29 17:51:37.444315,0,-82.47,0.0167,1076.41,123.19,8,352.57,5.77,5.31,0.68,0.7,52.85,0.11,49.4,2,0.114,4.52,1.076,0.9202772963604853,0.07972270363951472,5G SA,Moderately_Degraded,n28,Call,Driving,Clear,Low,Medium,Light,afternoon
synnetqos_m_00000066,S042_00006,2025-07-29 17:52:37.444315,0,-82.06,0.0159,1128.78,117.03,8,155.33,77.76,79.6,0.25,0.24,76.77,0.28,79.1,3,0.117,69.88,1.129,1.023662551440329,0.0,5G SA,Moderately_Degraded,n28,Call,Driving,Clear,Low,High,Light,afternoon
synnetqos_m_00000067,S042_00006,2025-07-29 17:53:37.444315,0,-98.17,0.019,949.13,132.87,8,118.92,4.3,4.4,0.62,0.64,94.28,0.22,97.6,7,0.094,3.11,0.949,1.0232558139534884,0.0,5G SA,Moderately_Degraded,n28,Call,Driving,Clear,Low,Medium,Light,afternoon
synnetqos_m_00000068,S042_00006,2025-07-29 17:54:37.444315,0,-66.0,0.0912,204.43,101.38,8,396.67,156.03,155.23,10.28,10.69,18.88,0.05,23.2,3,0.089,103.43,0.204,0.9948727808754726,0.005127219124527405,5G SA,Moderately_Degraded,n28,Gaming,Driving,Clear,Low,Medium,Moderate,afternoon
synnetqos_m_00000069,S042_00006,2025-07-29 17:55:37.444315,0,-50.0,0.5196,50.0,63.7,8,365.41,135.29,130.81,2.64,2.48,16.65,0.04,19.2,3,0.069,67.94,0.05,0.9668859487027867,0.03311405129721334,5G SA,Moderately_Degraded,n28,Browse,Driving,Clear,Low,Medium,Light,afternoon
synnetqos_m_00000070,S042_00006,2025-07-29 17:56:37.444315,0,-88.61,0.0331,543.65,125.91,8,282.6,43.07,45.12,4.29,4.12,75.59,0.33,70.6,3,0.094,31.8,0.544,1.047596935221732,0.0,5G SA,Moderately_Degraded,n28,Gaming,Driving,Clear,Low,Medium,Light,afternoon
synnetqos_m_00000071,S042_00007,2025-08-15 23:27:03.932332,1,-110.39,0.0144,1250.0,145.93,8,7.32,241.87,7.28,7.16,1.83,230.63,0.61,230.4,0,0.118,6.43,1.25,0.03009881341216356,0.9699011865878364,5G NSA,Nominal,n77,Gaming,Static,Clear,Medium,High,Light,evening
synnetqos_m_00000072,S042_00007,2025-08-15 23:28:03.932332,1,-112.27,0.0144,1250.0,146.76,8,3.69,59.23,3.64,1.28,0.87,146.69,0.2,146.6,0,0.084,2.28,1.25,0.0614553435758906,0.9385446564241094,5G NSA,Nominal,n77,Browse,Static,Clear,Medium,Medium,Moderate,evening
synnetqos_m_00000073,S042_00007,2025-08-15 23:29:03.932332,1,-119.91,0.0145,1241.35,151.72,10,1.29,209.35,1.18,34.89,0.32,197.74,0.46,204.9,1,0.071,0.63,1.241,0.005636493909720564,0.9943635060902795,5G NSA,Nominal,n77,Streaming,Walking,Clear,Medium,Medium,Light,evening
synnetqos_m_00000074,S042_00007,2025-08-15 23:30:03.932332,1,-107.91,0.0144,1251.77,141.74,10,7.19,134.5,7.19,20.93,1.67,241.35,0.57,238.2,0,0.114,6.16,1.252,0.05345724907063197,0.946542750929368,5G NSA,Nominal,n77,Streaming,Walking,Clear,Medium,High,Heavy,evening
synnetqos_m_00000075,S042_00007,2025-08-15 23:31:03.932332,1,-109.61,0.0144,1251.77,144.31,8,21.04,247.97,20.01,6.65,5.26,146.87,0.25,144.1,0,0.124,18.57,1.252,0.08069524539258782,0.9193047546074122,5G NSA,Nominal,n77,Gaming,Static,Clear,Medium,Medium,Moderate,evening
synnetqos_m_00000076,S042_00007,2025-08-15 23:32:03.932332,1,-121.03,0.0144,1251.77,157.42,8,0.0,11.72,0.0,0.12,0.0,172.89,0.23,181.5,0,0.087,0.0,1.252,0.0,1.0,5G NSA,Nominal,n77,Call,Static,Clear,Medium,Medium,Moderate,evening
synnetqos_m_00000077,S042_00007,2025-08-15 23:33:03.932332,1,-120.48,0.0144,1251.77,157.36,8,4.84,139.41,4.41,93.44,1.21,273.15,0.61,279.4,0,0.097,3.22,1.252,0.0316333118140736,0.9683666881859264,5G NSA,Nominal,n77,Streaming,Static,Clear,Medium,High,Moderate,evening
synnetqos_m_00000078,S042_00007,2025-08-15 23:34:03.932332,0,-91.63,0.0144,1251.77,131.63,8,214.0,209.02,206.69,132.19,53.5,89.29,0.22,86.5,0,0.135,208.5,1.252,0.9888527413644627,0.011147258635537338,5G NSA,Nominal,n77,Streaming,Static,Clear,Medium,Medium,Light,evening
synnetqos_m_00000079,S042_00007,2025-08-15 23:35:03.932332,0,-104.89,0.0144,1251.77,139.54,8,72.01,5.73,5.54,0.04,0.04,96.05,0.15,91.6,0,0.106,4.4,1.252,0.9668411867364747,0.03315881326352532,5G NSA,Nominal,n77,Call,Static,Clear,Medium,Low,Light,evening
synnetqos_m_00000080,S042_00007,2025-08-15 23:36:03.932332,1,-95.4,0.0144,1251.77,133.72,8,55.51,92.17,51.92,0.09,0.09,155.41,0.37,153.7,0,0.106,41.41,1.252,0.5633069328414886,0.4366930671585114,5G NSA,Nominal,n77,Browse,Static,Clear,Medium,High,Heavy,evening
synnetqos_m_00000081,S042_00008,2025-08-03 22:26:02.132630,0,-80.88,0.0409,440.0,124.57,2,171.39,11.09,11.43,0.97,0.9,93.87,0.28,94.1,0,0.092,7.87,0.44,1.030658250676285,0.0,5G NSA,Nominal,n78,Call,Static,Clear,Low,High,Moderate,evening
synnetqos_m_00000082,S042_00008,2025-08-03 22:27:02.132630,0,-80.19,0.0409,440.0,121.93,2,179.38,206.03,165.43,35.29,36.98,81.59,0.17,85.6,0,0.103,128.39,0.44,0.8029413192253556,0.1970586807746444,5G NSA,Nominal,n78,Streaming,Static,Clear,Low,High,Heavy,evening
synnetqos_m_00000083,S042_00008,2025-08-03 22:28:02.132630,0,-58.48,0.0409,440.0,104.66,2,183.34,13.89,14.52,0.12,0.11,37.24,0.11,36.5,0,0.084,9.19,0.44,1.0453563714902807,0.0,5G NSA,Nominal,n78,Call,Static,Clear,Low,High,Light,evening
synnetqos_m_00000084,S042_00008,2025-08-03 22:29:02.132630,1,-85.27,0.0409,440.0,129.01,2,395.47,1217.7,395.47,5.7,5.62,72.46,0.11,75.0,0,0.128,378.58,0.44,0.3247680052558101,0.6752319947441898,5G NSA,Nominal,n78,Gaming,Static,Clear,Low,Medium,Light,evening
synnetqos_m_00000085,S042_00008,2025-08-03 22:30:02.132630,0,-73.1,0.0409,440.0,118.37,2,182.4,7.55,7.78,0.4,0.41,47.8,0.11,46.8,0,0.14,8.19,0.44,1.0304635761589405,0.0,5G NSA,Nominal,n78,Call,Static,Clear,Low,High,Light,evening
