algorithm,support,itemsets,item_count,itemset_text
apriori,0.26436,infrastructure_profile=Nominal;latency_ms=latency_moderate;weather=Clear,3,infrastructure_profile=Nominal;latency_ms=latency_moderate;weather=Clear
apriori,0.26324,infrastructure_profile=Nominal;tower_load=Light;weather=Clear,3,infrastructure_profile=Nominal;tower_load=Light;weather=Clear
apriori,0.26248,infrastructure_profile=Nominal;movement_speed=Static;weather=Clear,3,infrastructure_profile=Nominal;movement_speed=Static;weather=Clear
apriori,0.26234,infrastructure_profile=Nominal;latency_ms=latency_moderate;service_degraded=0,3,infrastructure_profile=Nominal;latency_ms=latency_moderate;service_degraded=0
apriori,0.26228,jitter_ms=jitter_moderate;latency_ms=latency_high;service_degraded=1,3,jitter_ms=jitter_moderate;latency_ms=latency_high;service_degraded=1
apriori,0.26228,jitter_ms=jitter_moderate;latency_ms=latency_high,2,jitter_ms=jitter_moderate;latency_ms=latency_high
apriori,0.26146,offered_downlink_mbps=offered_very_high,1,offered_downlink_mbps=offered_very_high
apriori,0.26054,downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;service_degraded=1,3,downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal;service_degraded=1
apriori,0.26054,downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal,2,downlink_shortfall_fraction=shortfall_extreme;infrastructure_profile=Nominal
apriori,0.25936,congestion_level=High;service_degraded=1,2,congestion_level=High;service_degraded=1
apriori,0.25818,infrastructure_profile=Nominal;jitter_ms=jitter_low;movement_speed=Static,3,infrastructure_profile=Nominal;jitter_ms=jitter_low;movement_speed=Static
apriori,0.25712,jitter_ms=jitter_low;network_type=5G_SA,2,jitter_ms=jitter_low;network_type=5G_SA
apriori,0.25664,latency_ms=latency_moderate;service_degraded=0;weather=Clear,3,latency_ms=latency_moderate;service_degraded=0;weather=Clear
apriori,0.25562,obstruction_level=Low;service_degraded=0,2,obstruction_level=Low;service_degraded=0
apriori,0.25508,time_of_day=morning,1,time_of_day=morning
apriori,0.2543,infrastructure_profile=Nominal;service_degraded=1;weather=Clear,3,infrastructure_profile=Nominal;service_degraded=1;weather=Clear
apriori,0.25402,infrastructure_profile=Nominal;jitter_ms=jitter_low;tower_load=Light,3,infrastructure_profile=Nominal;jitter_ms=jitter_low;tower_load=Light
apriori,0.25296,congestion_level=High;jitter_ms=jitter_moderate,2,congestion_level=High;jitter_ms=jitter_moderate
apriori,0.25252,app_type=Streaming,1,app_type=Streaming
apriori,0.25232,time_of_day=night,1,time_of_day=night
apriori,0.25212,movement_speed=Static;tower_load=Light,2,movement_speed=Static;tower_load=Light
apriori,0.25138,app_type=Gaming,1,app_type=Gaming
apriori,0.25118,downlink_shortfall_fraction=shortfall_low;tower_load=Light,2,downlink_shortfall_fraction=shortfall_low;tower_load=Light
apriori,0.25072,congestion_level=Medium;latency_ms=latency_moderate,2,congestion_level=Medium;latency_ms=latency_moderate
apriori,0.2505,downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal;weather=Clear,3,downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal;weather=Clear
apriori,0.2504,network_type=5G_SA;weather=Clear,2,network_type=5G_SA;weather=Clear
apriori,0.25012,movement_speed=Walking;service_degraded=1,2,movement_speed=Walking;service_degraded=1
apriori,0.2501,infrastructure_profile=Nominal;jitter_ms=jitter_moderate;service_degraded=1,3,infrastructure_profile=Nominal;jitter_ms=jitter_moderate;service_degraded=1
apriori,0.24956,time_of_day=afternoon,1,time_of_day=afternoon
apriori,0.2494,jitter_ms=jitter_low;movement_speed=Static;service_degraded=0,3,jitter_ms=jitter_low;movement_speed=Static;service_degraded=0
apriori,0.24892,jitter_ms=jitter_low;movement_speed=Static;weather=Clear,3,jitter_ms=jitter_low;movement_speed=Static;weather=Clear
apriori,0.24864,app_type=Browse,1,app_type=Browse
apriori,0.2483,jitter_ms=jitter_low;service_degraded=0;tower_load=Light,3,jitter_ms=jitter_low;service_degraded=0;tower_load=Light
apriori,0.2478,band=LTE_Anchor;network_type=4G,2,band=LTE_Anchor;network_type=4G
apriori,0.2478,band=LTE_Anchor,1,band=LTE_Anchor
apriori,0.2478,network_type=4G,1,network_type=4G
apriori,0.24746,app_type=Call,1,app_type=Call
apriori,0.24686,downlink_shortfall_fraction=shortfall_low;movement_speed=Static,2,downlink_shortfall_fraction=shortfall_low;movement_speed=Static
apriori,0.24578,offered_downlink_mbps=offered_moderate,1,offered_downlink_mbps=offered_moderate
apriori,0.2447,congestion_level=Medium;service_degraded=0,2,congestion_level=Medium;service_degraded=0
apriori,0.24438,jitter_ms=jitter_low;tower_load=Light;weather=Clear,3,jitter_ms=jitter_low;tower_load=Light;weather=Clear
apriori,0.24386,signal_strength_dbm=signal_strong,1,signal_strength_dbm=signal_strong
apriori,0.24304,time_of_day=evening,1,time_of_day=evening
apriori,0.23926,infrastructure_profile=Nominal;movement_speed=Walking;weather=Clear,3,infrastructure_profile=Nominal;movement_speed=Walking;weather=Clear
apriori,0.23754,infrastructure_profile=Nominal;offered_downlink_mbps=offered_high,2,infrastructure_profile=Nominal;offered_downlink_mbps=offered_high
apriori,0.23586,downlink_shortfall_fraction=shortfall_low;obstruction_level=Low,2,downlink_shortfall_fraction=shortfall_low;obstruction_level=Low
apriori,0.23544,infrastructure_profile=Nominal;latency_ms=latency_high;service_degraded=1,3,infrastructure_profile=Nominal;latency_ms=latency_high;service_degraded=1
apriori,0.23544,infrastructure_profile=Nominal;latency_ms=latency_high,2,infrastructure_profile=Nominal;latency_ms=latency_high
apriori,0.23448,jitter_ms=jitter_low;obstruction_level=Medium,2,jitter_ms=jitter_low;obstruction_level=Medium
apriori,0.23314,movement_speed=Static;service_degraded=1,2,movement_speed=Static;service_degraded=1
apriori,0.2327,jitter_ms=jitter_low;latency_ms=latency_moderate;movement_speed=Static,3,jitter_ms=jitter_low;latency_ms=latency_moderate;movement_speed=Static
apriori,0.23262,jitter_ms=jitter_low;latency_ms=latency_moderate;tower_load=Light,3,jitter_ms=jitter_low;latency_ms=latency_moderate;tower_load=Light
apriori,0.2304,band=n78;infrastructure_profile=Nominal,2,band=n78;infrastructure_profile=Nominal
apriori,0.22966,movement_speed=Walking;tower_load=Light,2,movement_speed=Walking;tower_load=Light
apriori,0.22906,downlink_shortfall_fraction=shortfall_low;service_degraded=0;tower_load=Light,3,downlink_shortfall_fraction=shortfall_low;service_degraded=0;tower_load=Light
apriori,0.22866,congestion_level=Medium;tower_load=Moderate,2,congestion_level=Medium;tower_load=Moderate
apriori,0.22828,congestion_level=Medium;infrastructure_profile=Nominal;weather=Clear,3,congestion_level=Medium;infrastructure_profile=Nominal;weather=Clear
apriori,0.22634,service_degraded=1;tower_load=Light,2,service_degraded=1;tower_load=Light
apriori,0.22574,latency_ms=latency_moderate;obstruction_level=Low,2,latency_ms=latency_moderate;obstruction_level=Low
apriori,0.2257,infrastructure_profile=Nominal;tower_load=Moderate,2,infrastructure_profile=Nominal;tower_load=Moderate
apriori,0.22556,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low;latency_ms=latency_moderate,3,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low;latency_ms=latency_moderate
apriori,0.22304,congestion_level=Medium;infrastructure_profile=Nominal;jitter_ms=jitter_low,3,congestion_level=Medium;infrastructure_profile=Nominal;jitter_ms=jitter_low
apriori,0.22294,downlink_shortfall_fraction=shortfall_low;movement_speed=Static;service_degraded=0,3,downlink_shortfall_fraction=shortfall_low;movement_speed=Static;service_degraded=0
apriori,0.22252,latency_ms=latency_moderate;network_type=5G_SA,2,latency_ms=latency_moderate;network_type=5G_SA
apriori,0.22244,infrastructure_profile=Nominal;signal_strength_dbm=signal_weak,2,infrastructure_profile=Nominal;signal_strength_dbm=signal_weak
apriori,0.2224,infrastructure_profile=Nominal;obstruction_level=Low;weather=Clear,3,infrastructure_profile=Nominal;obstruction_level=Low;weather=Clear
apriori,0.22164,jitter_ms=jitter_moderate;movement_speed=Walking,2,jitter_ms=jitter_moderate;movement_speed=Walking
apriori,0.22106,jitter_ms=jitter_low;obstruction_level=Low;service_degraded=0,3,jitter_ms=jitter_low;obstruction_level=Low;service_degraded=0
apriori,0.22102,downlink_shortfall_fraction=shortfall_extreme;service_degraded=1;weather=Clear,3,downlink_shortfall_fraction=shortfall_extreme;service_degraded=1;weather=Clear
apriori,0.22102,downlink_shortfall_fraction=shortfall_extreme;weather=Clear,2,downlink_shortfall_fraction=shortfall_extreme;weather=Clear
apriori,0.22098,network_type=5G_SA;service_degraded=0,2,network_type=5G_SA;service_degraded=0
apriori,0.22076,congestion_level=Medium;downlink_shortfall_fraction=shortfall_low,2,congestion_level=Medium;downlink_shortfall_fraction=shortfall_low
apriori,0.22,offered_downlink_mbps=offered_high;weather=Clear,2,offered_downlink_mbps=offered_high;weather=Clear
apriori,0.21954,congestion_level=Medium;jitter_ms=jitter_low;service_degraded=0,3,congestion_level=Medium;jitter_ms=jitter_low;service_degraded=0
apriori,0.21924,jitter_ms=jitter_moderate;service_degraded=1;weather=Clear,3,jitter_ms=jitter_moderate;service_degraded=1;weather=Clear
apriori,0.21904,downlink_shortfall_fraction=shortfall_extreme;jitter_ms=jitter_moderate;service_degraded=1,3,downlink_shortfall_fraction=shortfall_extreme;jitter_ms=jitter_moderate;service_degraded=1
apriori,0.21904,downlink_shortfall_fraction=shortfall_extreme;jitter_ms=jitter_moderate,2,downlink_shortfall_fraction=shortfall_extreme;jitter_ms=jitter_moderate
apriori,0.21904,jitter_ms=jitter_low;signal_strength_dbm=signal_strong,2,jitter_ms=jitter_low;signal_strength_dbm=signal_strong
apriori,0.21794,infrastructure_profile=Nominal;signal_strength_dbm=signal_moderate,2,infrastructure_profile=Nominal;signal_strength_dbm=signal_moderate
apriori,0.21704,service_degraded=0;signal_strength_dbm=signal_strong,2,service_degraded=0;signal_strength_dbm=signal_strong
apriori,0.21612,jitter_ms=jitter_low;network_type=5G_NSA,2,jitter_ms=jitter_low;network_type=5G_NSA
apriori,0.216,latency_ms=latency_moderate;movement_speed=Walking,2,latency_ms=latency_moderate;movement_speed=Walking
apriori,0.21596,signal_strength_dbm=signal_moderate;weather=Clear,2,signal_strength_dbm=signal_moderate;weather=Clear
apriori,0.2158,band=n78;weather=Clear,2,band=n78;weather=Clear
apriori,0.21578,obstruction_level=Low;tower_load=Light,2,obstruction_level=Low;tower_load=Light
apriori,0.21576,congestion_level=Medium;movement_speed=Static,2,congestion_level=Medium;movement_speed=Static
apriori,0.21562,service_degraded=1;signal_strength_dbm=signal_weak,2,service_degraded=1;signal_strength_dbm=signal_weak
apriori,0.2154,infrastructure_profile=Nominal;obstruction_level=Medium;weather=Clear,3,infrastructure_profile=Nominal;obstruction_level=Medium;weather=Clear
apriori,0.21476,congestion_level=Medium;jitter_ms=jitter_low;weather=Clear,3,congestion_level=Medium;jitter_ms=jitter_low;weather=Clear
apriori,0.21406,movement_speed=Static;obstruction_level=Medium,2,movement_speed=Static;obstruction_level=Medium
apriori,0.21382,jitter_ms=jitter_low;movement_speed=Walking,2,jitter_ms=jitter_low;movement_speed=Walking
apriori,0.21274,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low;tower_load=Light,3,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low;tower_load=Light
apriori,0.21198,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low;movement_speed=Static,3,downlink_shortfall_fraction=shortfall_low;jitter_ms=jitter_low;movement_speed=Static
apriori,0.21198,movement_speed=Static;obstruction_level=Low,2,movement_speed=Static;obstruction_level=Low
apriori,0.2117,latency_ms=latency_moderate;signal_strength_dbm=signal_moderate,2,latency_ms=latency_moderate;signal_strength_dbm=signal_moderate
apriori,0.21122,downlink_shortfall_fraction=shortfall_low;obstruction_level=Low;service_degraded=0,3,downlink_shortfall_fraction=shortfall_low;obstruction_level=Low;service_degraded=0
apriori,0.2102,obstruction_level=Medium;service_degraded=1,2,obstruction_level=Medium;service_degraded=1
apriori,0.20938,congestion_level=High;jitter_ms=jitter_moderate;service_degraded=1,3,congestion_level=High;jitter_ms=jitter_moderate;service_degraded=1
apriori,0.20926,tower_load=Moderate;weather=Clear,2,tower_load=Moderate;weather=Clear
apriori,0.20884,latency_ms=latency_moderate;obstruction_level=Medium,2,latency_ms=latency_moderate;obstruction_level=Medium
apriori,0.20726,infrastructure_profile=Nominal;latency_ms=latency_moderate;tower_load=Light,3,infrastructure_profile=Nominal;latency_ms=latency_moderate;tower_load=Light
apriori,0.20608,downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal;latency_ms=latency_moderate,3,downlink_shortfall_fraction=shortfall_low;infrastructure_profile=Nominal;latency_ms=latency_moderate
apriori,0.20536,movement_speed=Walking;service_degraded=0,2,movement_speed=Walking;service_degraded=0
apriori,0.2052,infrastructure_profile=Nominal;network_type=5G_NSA;weather=Clear,3,infrastructure_profile=Nominal;network_type=5G_NSA;weather=Clear
apriori,0.20488,latency_ms=latency_high;service_degraded=1;weather=Clear,3,latency_ms=latency_high;service_degraded=1;weather=Clear
apriori,0.20488,latency_ms=latency_high;weather=Clear,2,latency_ms=latency_high;weather=Clear
apriori,0.20488,obstruction_level=Medium;tower_load=Light,2,obstruction_level=Medium;tower_load=Light
apriori,0.20482,congestion_level=Medium;tower_load=Light,2,congestion_level=Medium;tower_load=Light
apriori,0.2048,congestion_level=Medium;jitter_ms=jitter_low;latency_ms=latency_moderate,3,congestion_level=Medium;jitter_ms=jitter_low;latency_ms=latency_moderate
apriori,0.20434,infrastructure_profile=Nominal;service_degraded=0;tower_load=Light,3,infrastructure_profile=Nominal;service_degraded=0;tower_load=Light
apriori,0.20382,infrastructure_profile=Nominal;jitter_ms=jitter_moderate;weather=Clear,3,infrastructure_profile=Nominal;jitter_ms=jitter_moderate;weather=Clear
apriori,0.2032,service_degraded=0;tower_load=Light;weather=Clear,3,service_degraded=0;tower_load=Light;weather=Clear
apriori,0.20294,infrastructure_profile=Nominal;jitter_ms=jitter_low;obstruction_level=Low,3,infrastructure_profile=Nominal;jitter_ms=jitter_low;obstruction_level=Low
apriori,0.20276,congestion_level=Medium;downlink_shortfall_fraction=shortfall_low;service_degraded=0,3,congestion_level=Medium;downlink_shortfall_fraction=shortfall_low;service_degraded=0
apriori,0.2025,downlink_shortfall_fraction=shortfall_low;latency_ms=latency_moderate;weather=Clear,3,downlink_shortfall_fraction=shortfall_low;latency_ms=latency_moderate;weather=Clear
apriori,0.2022,obstruction_level=Medium;service_degraded=0,2,obstruction_level=Medium;service_degraded=0
apriori,0.20206,movement_speed=Static;service_degraded=0;weather=Clear,3,movement_speed=Static;service_degraded=0;weather=Clear
apriori,0.202,jitter_ms=jitter_low;service_degraded=0;signal_strength_dbm=signal_strong,3,jitter_ms=jitter_low;service_degraded=0;signal_strength_dbm=signal_strong
apriori,0.20122,infrastructure_profile=Nominal;movement_speed=Static;service_degraded=0,3,infrastructure_profile=Nominal;movement_speed=Static;service_degraded=0
apriori,0.2002,signal_strength_dbm=signal_weak;weather=Clear,2,signal_strength_dbm=signal_weak;weather=Clear
apriori,0.2,congestion_level=High;tower_load=Heavy,2,congestion_level=High;tower_load=Heavy
apriori,0.2,tower_load=Heavy,1,tower_load=Heavy
apriori,0.19996,movement_speed=Static;network_type=5G_NSA,2,movement_speed=Static;network_type=5G_NSA
apriori,0.19986,congestion_level=High;infrastructure_profile=Nominal;weather=Clear,3,congestion_level=High;infrastructure_profile=Nominal;weather=Clear
apriori,0.19936,infrastructure_profile=Nominal;latency_ms=latency_moderate;movement_speed=Static,3,infrastructure_profile=Nominal;latency_ms=latency_moderate;movement_speed=Static
apriori,0.19878,infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_high,3,infrastructure_profile=Nominal;jitter_ms=jitter_moderate;latency_ms=latency_high
apriori,0.19852,jitter_ms=jitter_low;obstruction_level=Low;weather=Clear,3,jitter_ms=jitter_low;obstruction_level=Low;weather=Clear
apriori,0.19836,jitter_ms=jitter_low;movement_speed=Static;tower_load=Light,3,jitter_ms=jitter_low;movement_speed=Static;tower_load=Light
apriori,0.19784,network_type=5G_NSA;tower_load=Light,2,network_type=5G_NSA;tower_load=Light
apriori,0.19778,network_type=5G_NSA;service_degraded=1,2,network_type=5G_NSA;service_degraded=1
apriori,0.19684,latency_ms=latency_moderate;tower_load=Light;weather=Clear,3,latency_ms=latency_moderate;tower_load=Light;weather=Clear
apriori,0.19668,congestion_level=High;infrastructure_profile=Nominal;service_degraded=1,3,congestion_level=High;infrastructure_profile=Nominal;service_degraded=1
apriori,0.19658,downlink_shortfall_fraction=shortfall_low;movement_speed=Walking,2,downlink_shortfall_fraction=shortfall_low;movement_speed=Walking
apriori,0.19604,downlink_shortfall_fraction=shortfall_extreme;latency_ms=latency_high;service_degraded=1,3,downlink_shortfall_fraction=shortfall_extreme;latency_ms=latency_high;service_degraded=1
apriori,0.19604,downlink_shortfall_fraction=shortfall_extreme;latency_ms=latency_high,2,downlink_shortfall_fraction=shortfall_extreme;latency_ms=latency_high
apriori,0.196,infrastructure_profile=Moderately_Degraded,1,infrastructure_profile=Moderately_Degraded
apriori,0.1954,weather=Rainy,1,weather=Rainy
apriori,0.19522,network_type=5G_NSA;service_degraded=0,2,network_type=5G_NSA;service_degraded=0
apriori,0.19494,infrastructure_profile=Nominal;offered_downlink_mbps=offered_very_high,2,infrastructure_profile=Nominal;offered_downlink_mbps=offered_very_high
apriori,0.19412,movement_speed=Walking;obstruction_level=Low,2,movement_speed=Walking;obstruction_level=Low
apriori,0.19362,congestion_level=High;movement_speed=Static,2,congestion_level=High;movement_speed=Static
apriori,0.19356,congestion_level=Medium;movement_speed=Walking,2,congestion_level=Medium;movement_speed=Walking
apriori,0.1933,jitter_ms=jitter_low;network_type=5G_SA;service_degraded=0,3,jitter_ms=jitter_low;network_type=5G_SA;service_degraded=0
apriori,0.1927,service_degraded=0;signal_strength_dbm=signal_moderate,2,service_degraded=0;signal_strength_dbm=signal_moderate
apriori,0.19222,band=n78;jitter_ms=jitter_low,2,band=n78;jitter_ms=jitter_low
apriori,0.19174,latency_ms=latency_moderate;service_degraded=0;tower_load=Light,3,latency_ms=latency_moderate;service_degraded=0;tower_load=Light
apriori,0.19152,app_type=Call;downlink_shortfall_fraction=shortfall_low,2,app_type=Call;downlink_shortfall_fraction=shortfall_low
apriori,0.19132,infrastructure_profile=Nominal;time_of_day=night,2,infrastructure_profile=Nominal;time_of_day=night
apriori,0.19104,infrastructure_profile=Nominal;time_of_day=morning,2,infrastructure_profile=Nominal;time_of_day=morning
